date,open,high,low,close,volume
2024-03-28,83.8,84.92,83.2,84.58,5816809
2024-03-27,84.94,85.67,82.24,83.18,5742321
2024-03-26,83.65,85.8,83.51,83.8,8171729
2024-03-25,80.61,83.54,80.58,82.62,6631894
2024-03-22,83.02,84.05,80.75,80.77,6375621
2024-03-21,82.41,85.0,82.34,84.05,10383651
2024-03-20,78.71,81.82,78.21,81.46,6652560
2024-03-19,79.74,80.46,78.0,79.32,6112526
2024-03-18,80.31,81.53,79.31,80.86,6175226
2024-03-15,80.56,82.09,79.94,80.17,8467078
2024-03-14,85.74,86.17,80.16,81.24,11603633
2024-03-13,81.34,87.52,81.2,85.72,15124865
2024-03-12,82.96,83.02,79.29,81.71,8477064
2024-03-11,81.5,83.83,80.84,81.53,10344766
2024-03-08,77.95,81.85,77.5,80.74,12875655
2024-03-07,76.82,77.79,75.67,77.22,6906612
2024-03-06,75.67,77.14,75.19,75.53,7376783
2024-03-05,76.1,76.55,73.77,74.43,7204447
2024-03-04,79.42,79.67,76.89,77.0,8523301
2024-03-01,79.79,80.63,78.11,79.25,9376886
2024-02-29,79.5,80.96,78.54,79.47,12228242
2024-02-28,77.01,79.93,76.7,78.42,12752694
2024-02-27,75.95,77.96,75.34,77.71,14699152
2024-02-26,77.52,77.78,74.56,74.66,23003243
2024-02-23,79.81,83.29,78.47,78.92,53427594
2024-02-22,65.78,68.44,65.65,67.96,23963910
2024-02-21,64.43,65.0,63.63,64.47,8838777
2024-02-20,65.58,66.58,64.83,65.73,10182080
2024-02-16,67.2,67.98,65.56,65.64,12642888
2024-02-15,68.28,70.1,68.06,69.48,9393631
2024-02-14,66.08,67.75,65.88,67.41,8346411
2024-02-13,65.82,66.66,64.38,64.98,11784133
2024-02-12,67.02,69.59,67.02,68.84,9112814
2024-02-09,69.23,69.9,66.67,66.88,11405007
2024-02-08,67.91,69.42,66.86,68.83,8515875
2024-02-07,67.09,68.84,65.58,68.31,7908102
2024-02-06,66.25,68.86,66.2,67.0,10748700
2024-02-05,67.0,67.23,65.45,65.85,6646395
2024-02-02,66.42,68.43,65.29,67.88,9373539
2024-02-01,66.05,67.34,64.97,66.67,9050596
2024-01-31,67.68,68.37,64.83,65.01,10919023
2024-01-30,70.35,71.41,67.8,68.22,13270642
2024-01-29,65.12,69.07,64.95,68.98,13236222
2024-01-26,62.0,65.57,61.94,64.97,11500921
2024-01-25,63.17,63.3,61.83,62.71,10939175
2024-01-24,67.09,67.3,62.55,62.57,12081150
2024-01-23,67.25,67.69,65.69,66.2,7247496
2024-01-22,67.13,69.36,66.26,66.69,10438374
2024-01-19,64.76,66.06,63.75,65.85,8642493
2024-01-18,64.51,65.23,63.43,64.47,8226598
2024-01-17,63.72,63.97,62.07,63.9,9588261
2024-01-16,65.48,65.98,64.2,65.16,9984057
2024-01-12,68.0,68.67,66.43,66.48,6612370
2024-01-11,68.61,68.8,66.11,67.87,7617722
2024-01-10,69.95,69.95,67.48,67.9,8705667
2024-01-09,68.76,70.64,68.76,69.53,8077134
2024-01-08,67.68,69.34,67.36,69.31,9210757
2024-01-05,67.53,68.57,66.6,66.96,11150662
2024-01-04,68.0,69.07,66.86,68.15,10020968
2024-01-03,69.0,70.6,68.14,68.63,15374149
2024-01-02,75.5,75.9,71.47,72.22,15249544
2023-12-29,79.32,79.77,76.86,77.35,8244876
2023-12-28,79.77,80.29,79.21,79.51,6830491
2023-12-27,78.0,79.73,77.96,79.6,7418793
2023-12-26,77.3,78.64,77.3,78.18,6135458
2023-12-22,77.08,77.55,76.25,77.14,7045417
2023-12-21,77.17,77.85,75.83,76.9,8829357
2023-12-20,77.03,79.1,76.0,76.11,12378232
2023-12-19,74.6,77.76,74.6,77.31,11958278
2023-12-18,74.0,74.87,73.4,73.88,7546034
2023-12-15,74.83,75.49,73.66,74.21,11130109
2023-12-14,71.8,75.44,71.78,74.76,20563594
2023-12-13,69.73,70.54,66.73,70.06,16627992
2023-12-12,69.21,69.57,68.33,69.57,6414749
2023-12-11,68.93,70.26,68.24,68.56,8109682
2023-12-08,67.85,70.67,67.6,69.17,11485275
2023-12-07,67.03,68.88,66.88,68.47,12668252
2023-12-06,65.79,69.95,65.79,68.0,20160625
2023-12-05,64.32,64.94,63.38,64.89,8606243
2023-12-04,65.0,65.33,64.19,65.0,8865226
2023-12-01,63.5,65.17,63.39,65.04,11954239
2023-11-30,64.09,64.2,62.68,63.43,9036601
2023-11-29,63.58,65.11,63.58,63.73,13983731
2023-11-28,60.5,64.0,60.39,63.34,15851184
2023-11-27,59.11,60.78,59.0,60.31,10451642
2023-11-24,58.97,60.04,58.68,59.65,4962580
2023-11-22,59.13,59.73,58.3392,59.02,7709245
2023-11-21,58.67,59.335,58.06,58.67,8125080
2023-11-20,57.92,59.535,57.4764,59.27,10473083
2023-11-17,56.44,58.4,56.4001,58.19,12038185
2023-11-16,56.02,56.45,55.49,56.28,9462602
2023-11-15,55.52,57.27,55.45,56.3,14683056
2023-11-14,53.96,55.33,53.82,55.1,15420220
2023-11-13,50.95,52.21,50.86,52.02,9727524
2023-11-10,50.99,51.7,50.87,51.5,9520253
2023-11-09,52.795,53.35,50.98,51.05,16380540
2023-11-08,50.96,53.05,50.63,52.27,19517528
2023-11-07,49.705,51.63,49.705,51.05,21695371
2023-11-06,49.1899,49.9211,48.152,49.52,22090151
2023-11-03,50.8,52.13,48.4,48.68,49424179
2023-11-02,43.71,44.0999,42.78,43.98,30569063
2023-11-01,39.95,41.095,39.34,40.96,11957107
2023-10-31,39.48,40.38,38.885,40.25,9734511
2023-10-30,40.37,40.86,38.85,39.22,15531790
2023-10-27,40.36,40.52,38.91,40.02,19872597
2023-10-26,41.66,42.89,41.5448,41.68,11861548
2023-10-25,43.56,43.65,41.3,41.72,20833391
2023-10-24,44.78,46.15,44.7114,45.35,11482236
2023-10-23,43.58,44.565,42.81,43.9,9641632
2023-10-20,44.515,44.56,43.7003,43.98,9985879
2023-10-19,44.38,45.57,43.96,44.17,10885056
2023-10-18,45.275,45.88,44.55,44.58,8206403
2023-10-17,44.18,46.38,44.09,45.9,11581256
2023-10-16,43.84,44.95,43.595,44.76,9192184
2023-10-13,44.63,44.87,43.14,43.17,13513488
2023-10-12,47.05,47.225,45.121,45.45,13842976
2023-10-11,46.34,47.535,46.02,46.69,15563042
2023-10-10,44.3,46.54,44.3,46.0,15783367
2023-10-09,43.12,43.815,42.89,43.71,7787594
2023-10-06,42.15,44.05,42.15,43.83,13176821
2023-10-05,41.51,42.815,40.77,42.64,15916712
2023-10-04,42.0,42.22,41.24,41.9,11047998
2023-10-03,42.57,43.29,41.49,41.9,11399945
2023-10-02,44.32,44.72,42.98,43.19,10433167
2023-09-29,45.21,45.63,44.21,44.26,11965284
2023-09-28,44.03,44.56,42.77,44.35,16585056
2023-09-27,45.26,45.36,43.75,44.14,11656103
2023-09-26,44.94,45.7398,44.56,44.81,10168217
2023-09-25,44.62,45.74,44.33,45.59,8841345
2023-09-22,45.89,46.18,44.6,44.71,11866500
2023-09-21,46.51,46.93,45.27,45.62,19540764
2023-09-20,49.99,50.06,47.52,47.57,15297870
2023-09-19,49.94,50.63,49.37,49.8,17981673
2023-09-18,52.81,52.81,51.24,51.25,11564036
2023-09-15,53.68,54.08,52.26,52.83,11915074
2023-09-14,54.61,54.73,53.57,53.85,8089954
2023-09-13,54.075,54.58,53.61,54.15,5735346
2023-09-12,53.785,55.7291,53.65,54.33,10233084
2023-09-11,53.955,55.2,53.2701,53.94,10420035
2023-09-08,56.0,56.0,52.78,53.08,20720751
2023-09-07,56.22,56.5,55.14,56.04,9075765
2023-09-06,57.68,59.72,57.49,57.64,10491583
2023-09-05,58.16,59.195,57.785,58.74,5987049
2023-09-01,58.39,59.04,57.85,58.17,5752348
2023-08-31,57.8,58.5,57.17,57.65,7392938
2023-08-30,57.33,58.21,56.98,57.72,6813238
2023-08-29,55.57,57.9,55.46,57.76,7316304
2023-08-28,56.01,56.45,55.26,55.87,5333590
2023-08-25,55.4,56.63,54.97,55.86,7741021
2023-08-24,57.57,57.57,55.31,55.63,7952746
