date,open,high,low,close,volume
2024-03-28,131.16,131.16,127.83,129.46,811626
2024-03-27,129.25,130.32,127.36,130.23,592604
2024-03-26,129.83,129.97,128.0,128.25,530108
2024-03-25,127.0,128.95,126.0,127.94,396054
2024-03-22,125.14,128.19,124.75,127.54,628292
2024-03-21,126.98,128.44,124.27,124.94,458091
2024-03-20,124.37,126.11,122.72,126.08,551513
2024-03-19,123.8,125.6,122.65,124.06,811173
2024-03-18,123.72,125.41,122.33,123.97,523125
2024-03-15,123.49,125.25,121.6,123.05,1245799
2024-03-14,121.17,125.0,120.58,123.76,644210
2024-03-13,122.36,122.91,121.08,121.96,684537
2024-03-12,122.25,123.25,120.99,122.0,732440
2024-03-11,124.03,125.43,121.05,121.58,928530
2024-03-08,120.97,125.5,120.09,124.37,1275070
2024-03-07,120.41,122.67,119.65,120.78,957718
2024-03-06,122.77,123.59,119.86,120.31,878610
2024-03-05,122.09,124.24,121.08,122.85,998216
2024-03-04,128.67,128.67,123.31,123.88,850501
2024-03-01,127.18,130.59,124.9,128.67,1675429
2024-02-29,136.67,138.0,127.31,127.9,2108102
2024-02-28,141.14,142.6,136.25,137.5,1044189
2024-02-27,138.73,142.16,137.96,141.53,877918
2024-02-26,136.3,138.97,135.35,137.65,630454
2024-02-23,136.12,137.51,135.14,136.53,570786
2024-02-22,132.28,136.5,131.76,134.78,763563
2024-02-21,134.82,136.25,130.5,132.29,805983
2024-02-20,134.34,136.35,132.1,136.14,1008778
2024-02-16,140.06,143.0,134.06,134.61,2766289
2024-02-15,124.56,125.62,123.19,124.89,771621
2024-02-14,125.64,126.14,122.01,124.3,923520
2024-02-13,124.6,126.47,122.49,124.19,807898
2024-02-12,126.87,127.63,125.42,127.32,884569
2024-02-09,128.0,129.2,126.33,126.87,775106
2024-02-08,125.99,127.88,125.02,127.38,414006
2024-02-07,126.68,127.95,125.69,126.05,515017
2024-02-06,126.07,127.72,125.06,126.41,1146140
2024-02-05,121.42,125.61,121.42,125.55,878187
2024-02-02,122.0,122.97,120.04,121.27,788567
2024-02-01,119.98,124.09,118.91,122.83,919721
2024-01-31,120.76,123.45,118.81,118.99,834648
2024-01-30,120.11,120.41,117.49,119.09,692078
2024-01-29,118.8,123.15,115.98,120.5,1157601
2024-01-26,120.85,121.0,117.63,118.73,667154
2024-01-25,120.18,121.25,119.3,120.02,821748
2024-01-24,122.0,122.0,119.37,120.22,1300338
2024-01-23,121.7,122.48,118.75,121.13,1267325
2024-01-22,117.92,121.55,117.37,121.05,1599534
2024-01-19,116.8,117.64,114.48,115.64,2445837
2024-01-18,118.01,120.56,115.33,116.8,1344570
2024-01-17,114.82,118.46,113.55,117.05,1128491
2024-01-16,115.41,116.62,113.62,115.39,970222
2024-01-12,116.73,117.97,115.69,116.8,987649
2024-01-11,119.26,119.33,115.58,116.06,1186238
2024-01-10,121.91,121.91,114.01,119.19,2390738
2024-01-09,107.91,120.09,107.91,119.77,5249691
2024-01-08,97.15,102.93,94.75,102.61,2182267
2024-01-05,93.98,98.02,91.34,97.34,1115332
2024-01-04,93.98,95.05,93.55,94.28,783358
2024-01-03,94.0,95.0,93.0,93.7,987525
2024-01-02,95.5,97.3,95.0,96.21,1148225
2023-12-29,98.05,98.2,96.34,96.43,730028
2023-12-28,97.34,99.49,96.94,97.78,1093081
2023-12-27,96.71,97.65,95.36,96.84,917234
2023-12-26,94.99,96.47,94.2,96.31,864431
2023-12-22,91.99,94.94,91.99,94.54,1029331
2023-12-21,91.3,93.08,89.92,90.75,1059342
2023-12-20,94.55,94.55,90.15,90.29,1340193
2023-12-19,94.98,95.97,94.58,95.54,883653
2023-12-18,93.99,94.5,92.09,93.93,1280152
2023-12-15,94.49,95.5,91.6,92.99,3385359
2023-12-14,93.83,96.55,93.28,94.52,1831534
2023-12-13,87.0,92.47,87.0,92.11,1478530
2023-12-12,88.73,88.91,86.23,86.81,820570
2023-12-11,87.52,88.1,85.61,87.71,1228929
2023-12-08,88.13,89.65,87.01,87.03,614084
2023-12-07,87.89,90.0,87.03,88.41,689913
2023-12-06,88.64,89.01,86.28,87.38,2014721
