date,open,high,low,close,volume
2024-03-28,44.32,46.23,43.92,45.78,6126545
2024-03-27,43.07,43.96,43.02,43.92,3176974
2024-03-26,43.48,43.57,43.03,43.08,1969234
2024-03-25,43.55,44.29,43.09,43.16,2538028
2024-03-22,44.09,44.56,43.55,43.6,2918868
2024-03-21,45.36,45.5,44.41,44.76,4067950
2024-03-20,43.37,45.13,43.2,44.99,5459330
2024-03-19,43.35,44.03,43.21,43.59,3280105
2024-03-18,45.18,45.37,44.26,44.4,4174347
2024-03-15,45.0,45.31,44.36,44.87,4907872
2024-03-14,45.35,45.62,44.38,44.78,3979481
2024-03-13,42.96,46.14,42.95,45.68,9462707
2024-03-12,41.69,42.26,41.16,42.23,2858605
2024-03-11,41.22,41.85,40.95,41.51,2281014
2024-03-08,41.26,41.66,40.82,41.34,2664327
2024-03-07,40.25,41.3,40.18,41.14,3377448
2024-03-06,39.44,39.94,39.27,39.54,2508915
2024-03-05,39.22,39.57,38.69,38.7,1762997
2024-03-04,39.25,39.81,39.16,39.39,3059787
2024-03-01,38.64,39.37,38.64,39.2,11932357
2024-02-29,37.86,38.67,37.8,38.42,2438861
2024-02-28,37.85,38.08,37.3,37.47,3593551
2024-02-27,39.04,39.04,38.28,38.32,3047786
2024-02-26,39.04,39.52,38.26,38.8,4206507
2024-02-23,38.31,39.67,38.21,39.6,4869927
2024-02-22,39.0,39.98,38.57,38.63,6569916
2024-02-21,38.01,38.37,37.7,38.11,3346264
2024-02-20,38.39,38.69,37.37,37.9,4025486
2024-02-16,38.91,39.34,38.61,38.7,7876841
2024-02-15,38.04,38.52,37.85,38.25,3008076
2024-02-14,37.16,37.72,36.93,37.69,2642001
2024-02-13,37.17,37.4,36.5,37.0,2877446
2024-02-12,37.22,37.81,37.16,37.66,2887692
2024-02-09,37.67,37.89,36.74,37.0,5082458
2024-02-08,38.32,38.39,37.61,37.94,3213848
2024-02-07,38.78,38.87,38.2,38.43,2732576
2024-02-06,38.73,39.15,38.6,38.7,4245351
2024-02-05,39.02,39.08,37.89,38.49,2538347
2024-02-02,40.01,40.14,39.34,39.71,3088471
2024-02-01,40.22,40.86,40.15,40.37,2567144
2024-01-31,40.44,40.8,39.97,40.01,2635005
2024-01-30,40.17,40.89,39.73,40.52,2646097
2024-01-29,40.16,40.56,39.56,40.55,2136057
2024-01-26,40.48,40.56,39.52,40.21,1836726
2024-01-25,40.1,40.6,39.85,40.44,3596265
2024-01-24,40.37,40.9,39.94,39.96,5117053
2024-01-23,39.0,39.39,38.61,39.04,4046100
2024-01-22,38.16,38.74,37.92,38.15,4177894
2024-01-19,37.53,38.55,37.5,38.51,5157839
2024-01-18,37.3,37.34,36.69,37.29,3390652
2024-01-17,36.76,37.69,36.69,36.93,3449171
