date,open,high,low,close,volume
2024-03-28,104.8,105.32,104.65,104.97,546533
2024-03-27,104.45,105.05,104.4,105.01,353797
2024-03-26,104.0,104.28,103.78,104.24,488442
2024-03-25,104.26,104.26,103.86,104.02,257958
2024-03-22,104.69,104.69,104.32,104.43,275741
2024-03-21,103.78,103.91,103.29,103.58,331137
2024-03-20,103.42,104.0,102.79,103.4,456710
2024-03-19,103.15,103.51,102.99,103.32,356716
2024-03-18,102.97,103.15,102.72,102.92,261000
2024-03-15,103.33,103.36,103.06,103.13,291822
2024-03-14,103.99,103.99,103.22,103.3,1290213
2024-03-13,104.78,104.95,104.52,104.65,347802
2024-03-12,105.28,105.36,104.86,105.01,294267
2024-03-11,106.05,106.09,105.58,105.85,383034
2024-03-08,105.97,106.09,105.68,105.88,616295
2024-03-07,106.28,106.31,105.54,105.95,346627
2024-03-06,105.43,105.99,105.37,105.79,430185
2024-03-05,105.06,105.54,104.87,105.24,419718
2024-03-04,103.61,104.02,103.59,104.0,320169
2024-03-01,103.32,104.37,102.93,104.33,532629
2024-02-29,103.76,104.17,103.71,104.02,740358
2024-02-28,103.09,103.53,102.93,103.45,560297
2024-02-27,103.27,103.48,102.86,102.97,670176
2024-02-26,103.78,103.96,103.06,103.49,706018
2024-02-23,102.95,103.84,102.89,103.68,669293
2024-02-22,102.6,102.98,102.54,102.83,1186758
2024-02-21,103.15,103.21,102.38,102.54,518246
2024-02-20,103.04,103.42,102.99,103.13,531240
2024-02-16,102.69,102.99,102.62,102.99,643497
2024-02-15,103.79,103.94,103.28,103.52,1371456
2024-02-14,102.58,103.31,102.53,103.1,522085
2024-02-13,103.12,103.24,102.54,102.55,728734
2024-02-12,104.17,104.36,103.79,104.16,342866
2024-02-09,104.0,104.23,103.89,104.08,350126
2024-02-08,104.4,104.56,104.01,104.39,505746
2024-02-07,104.96,105.57,104.88,104.93,397709
2024-02-06,104.55,105.45,104.49,105.3,432295
2024-02-05,104.94,105.09,104.27,104.45,695750
2024-02-02,106.36,106.66,105.8,106.31,700062
2024-02-01,107.58,108.65,107.36,108.16,1319967
2024-01-31,106.52,107.13,106.3,106.92,604597
2024-01-30,105.77,105.9,105.09,105.88,532461
2024-01-29,104.77,105.53,104.6,105.24,603968
2024-01-26,104.36,104.5,103.97,104.25,1276802
2024-01-25,104.48,104.64,104.09,104.45,2894870
2024-01-24,105.03,105.08,103.71,103.84,582420
2024-01-23,104.45,104.49,104.01,104.44,330877
2024-01-22,105.14,105.41,104.81,105.0,557638
2024-01-19,104.15,104.55,103.71,104.46,961931
2024-01-18,104.79,104.89,104.04,104.26,576799
2024-01-17,104.99,105.28,104.6,104.95,474253
2024-01-16,106.02,106.14,104.99,105.27,714592
2024-01-12,106.87,107.33,106.46,106.88,741487
2024-01-11,106.11,106.77,105.71,106.59,710791
2024-01-10,106.72,106.83,105.98,106.24,620275
2024-01-09,106.34,106.83,106.31,106.51,445585
2024-01-08,105.92,106.98,105.84,106.72,820390
2024-01-05,106.04,107.11,105.71,105.8,1307295
2024-01-04,106.86,107.07,106.57,106.72,661481
2024-01-03,106.9,108.12,106.67,108.08,1088993
2024-01-02,107.58,107.92,107.43,107.71,1793868
2023-12-29,108.34,108.87,108.01,108.26,588505
2023-12-28,109.17,109.52,108.68,108.95,500577
2023-12-27,108.85,109.54,108.64,109.52,786258
2023-12-26,107.71,108.0,107.62,107.92,413942
2023-12-22,108.28,108.31,107.39,107.6,560176
2023-12-21,108.54,108.64,107.66,107.72,740037
2023-12-20,107.69,108.38,107.37,108.35,1295800
2023-12-19,107.52,107.92,107.27,107.46,696271
2023-12-18,107.13,107.2,106.82,107.08,1255654
2023-12-15,107.5,107.95,107.31,107.68,717519
2023-12-14,106.63,107.7,106.46,107.66,966800
2023-12-13,104.31,106.11,104.2,105.96,1016934
