date,open,high,low,close,volume
2024-03-28,94.49,95.02,94.32,94.62,34423201
2024-03-27,93.99,94.7,93.94,94.7,50157816
2024-03-26,93.51,93.87,93.28,93.77,34422997
2024-03-25,93.71,93.75,93.3,93.51,24011759
2024-03-22,94.19,94.21,93.78,93.98,30262284
2024-03-21,93.27,93.43,92.73,93.09,34276643
2024-03-20,93.1,93.79,92.29,92.89,43460080
2024-03-19,92.85,93.27,92.69,92.92,26953132
2024-03-18,92.73,92.99,92.5,92.66,29519539
2024-03-15,93.06,93.19,92.79,92.94,34997707
2024-03-14,93.73,93.75,92.86,92.97,58365563
2024-03-13,94.5,94.74,94.21,94.42,38270057
2024-03-12,95.04,95.21,94.69,94.88,29566000
2024-03-11,95.96,96.01,95.37,95.68,17787915
2024-03-08,95.8,96.05,95.48,95.73,25023234
2024-03-07,96.36,96.4,95.48,95.9,39075047
2024-03-06,95.49,96.17,95.41,95.99,40571580
2024-03-05,95.23,95.68,94.97,95.43,37721853
2024-03-04,93.7,94.16,93.68,94.09,23864210
2024-03-01,93.44,94.51,93.01,94.47,45832788
2024-02-29,93.82,94.3,93.78,94.18,51038614
2024-02-28,93.08,93.6,92.9,93.52,34574178
2024-02-27,93.24,93.47,92.85,92.93,30241953
2024-02-26,94.0,94.03,93.19,93.59,27855044
2024-02-23,92.75,94.0,92.75,93.87,38406710
2024-02-22,92.33,92.76,92.27,92.63,45190659
2024-02-21,92.83,92.9,92.01,92.18,36404244
2024-02-20,92.79,93.19,92.72,92.84,24469329
2024-02-16,92.48,92.85,92.34,92.76,33116772
2024-02-15,93.56,93.72,93.0,93.3,49598494
2024-02-14,92.3,93.05,92.23,92.82,44191551
2024-02-13,92.86,93.06,92.33,92.35,49768460
2024-02-12,93.9,94.14,93.5,93.96,27890272
2024-02-09,93.76,94.01,93.66,93.85,27951308
2024-02-08,94.02,94.3,93.66,94.04,50087687
2024-02-07,94.57,95.23,94.52,94.59,40120215
2024-02-06,94.24,95.15,94.21,95.05,33411473
2024-02-05,94.63,94.85,94.02,94.13,53827357
2024-02-02,96.27,96.62,95.69,96.07,63823250
2024-02-01,97.42,98.67,97.19,98.24,84291219
2024-01-31,96.22,96.91,96.0,96.66,80646722
2024-01-30,95.48,95.84,94.74,95.72,40151415
2024-01-29,94.31,95.17,94.12,94.86,38243550
2024-01-26,93.93,94.07,93.49,93.78,29276865
2024-01-25,94.0,94.22,93.57,93.96,57019409
2024-01-24,94.51,94.54,93.1,93.35,54574914
2024-01-23,93.89,93.99,93.43,93.9,35786747
2024-01-22,94.82,95.08,94.39,94.65,35756416
2024-01-19,93.71,94.17,93.26,94.09,47030912
2024-01-18,94.46,94.58,93.51,93.79,77339062
2024-01-17,94.6,95.0,94.16,94.67,55506807
2024-01-16,95.62,95.79,94.51,94.82,61716698
2024-01-12,96.78,97.27,96.27,96.52,38883928
2024-01-11,96.17,96.83,95.71,96.71,78858911
2024-01-10,96.92,97.05,96.12,96.17,48227798
2024-01-09,96.64,97.17,96.59,96.62,34373950
2024-01-08,96.23,97.38,96.09,97.24,39485848
2024-01-05,96.5,97.68,96.21,96.29,45894801
2024-01-04,97.42,97.64,97.07,97.22,52604511
2024-01-03,97.38,98.85,97.15,98.72,58159496
2024-01-02,98.23,98.65,98.0,98.31,47797425
2023-12-29,99.13,99.82,98.8,98.88,41616185
2023-12-28,100.09,100.57,99.56,99.78,36212985
2023-12-27,99.78,100.53,99.5,100.51,45082814
2023-12-26,98.54,98.87,98.48,98.76,24019749
2023-12-22,99.38,99.38,98.24,98.48,29244249
2023-12-21,99.74,99.84,98.75,98.93,65231183
2023-12-20,99.11,99.69,98.58,99.56,51229377
2023-12-19,98.86,99.26,98.66,98.89,30018415
2023-12-18,98.5,98.5,98.02,98.36,34746018
2023-12-15,98.69,99.35,98.58,99.15,59941256
2023-12-14,97.66,99.04,97.42,99.04,87798591
2023-12-13,95.17,96.98,95.02,96.84,70828499
2023-12-12,94.15,94.7,93.9,94.62,36996909
2023-12-11,94.01,94.44,93.53,94.34,33909733
2023-12-08,94.42,94.72,93.91,94.54,44809246
2023-12-07,95.18,96.08,95.06,95.32,47970168
