date,open,high,low,close,volume
2022-10-27,53.91,54.0,53.7,53.7,140831508
2022-10-26,52.95,53.5,52.77,53.35,28064973
2022-10-25,52.4,53.18,52.2,52.78,35077848
2022-10-24,50.71,51.86,50.52,51.52,22987553
2022-10-21,50.0,50.75,49.55,49.89,51209029
2022-10-20,52.2,52.7,51.6,52.44,25061019
2022-10-19,51.8,52.16,51.26,51.83,10057928
2022-10-18,51.1,52.1,50.85,51.78,18533907
2022-10-17,50.5,50.9,50.2,50.74,14101270
2022-10-14,50.49,50.865,50.3,50.45,10075908
2022-10-13,49.8,51.07,49.52,50.34,18641291
2022-10-12,50.01,50.5,49.81,49.94,11827822
2022-10-11,50.03,50.5502,49.8093,50.07,11626795
2022-10-10,49.66,50.86,49.5,50.36,22272449
2022-10-07,49.02,49.52,48.14,49.18,32623802
2022-10-06,50.98,51.55,49.29,49.39,68463778
2022-10-05,50.26,52.0,50.2,51.3,74367085
2022-10-04,42.81,52.3,42.55,52.0,51951860
2022-10-03,43.9,43.9,42.23,42.54,13143223
2022-09-30,42.89,44.66,42.745,43.84,25890492
2022-09-29,43.0,43.17,42.39,42.74,8716979
2022-09-28,42.59,43.53,42.38,43.25,13318872
2022-09-27,41.74,42.18,41.28,42.09,8306887
2022-09-26,41.5,43.5199,40.66,41.52,23916964
2022-09-23,41.48,41.77,40.845,41.58,9118960
2022-09-22,41.39,41.77,41.25,41.4,5868083
2022-09-21,41.79,42.185,41.27,41.27,7623288
2022-09-20,41.44,42.11,40.93,41.68,7229122
2022-09-19,41.4,41.74,41.21,41.66,7223513
2022-09-16,41.83,41.95,41.25,41.45,26474037
2022-09-15,41.75,42.44,41.5,42.14,9254200
2022-09-14,41.75,41.91,41.25,41.9,8098525
2022-09-13,40.76,42.47,40.47,41.74,14330074
2022-09-12,41.81,41.9,41.2499,41.41,7905599
2022-09-09,41.88,42.3,41.505,42.19,7422753
2022-09-08,41.0,42.17,40.98,41.85,11829192
2022-09-07,39.3,41.25,39.3,41.2,18293674
2022-09-06,38.62,39.09,38.06,38.65,11170507
2022-09-02,38.86,39.005,38.29,38.63,7925508
2022-09-01,38.64,38.92,38.44,38.62,8607759
2022-08-31,39.98,40.05,38.595,38.75,16862823
2022-08-30,39.87,40.09,39.07,39.32,9617948
2022-08-29,40.22,40.595,39.99,40.04,6695767
2022-08-26,41.15,41.1994,40.23,40.46,10144129
2022-08-25,40.5,41.49,40.17,41.05,10349518
2022-08-24,39.28,40.99,38.77,40.79,17136655
2022-08-23,41.36,41.94,39.8481,39.86,26037265
2022-08-22,43.5,43.66,42.81,43.01,7904473
2022-08-19,43.52,44.01,43.35,43.99,8103532
2022-08-18,44.12,44.44,43.81,43.86,6289503
2022-08-17,44.25,44.51,43.85,43.99,6111904
