date,open,high,low,close,volume
2024-03-28,96.44,96.6,95.84,95.93,1437349
2024-03-27,96.33,96.8,96.0,96.25,1382938
2024-03-26,95.82,96.58,95.55,95.96,954301
2024-03-25,95.84,95.96,95.41,95.72,885103
2024-03-22,95.71,95.93,95.27,95.85,1149535
2024-03-21,95.25,96.16,94.81,95.41,749518
2024-03-20,94.2,95.51,93.66,94.99,982455
2024-03-19,93.43,94.25,93.21,94.14,1039760
2024-03-18,93.28,93.71,92.89,93.12,1058963
2024-03-15,91.64,93.14,91.64,92.91,2381361
2024-03-14,92.15,92.54,91.77,92.25,1031221
2024-03-13,91.76,92.57,91.57,92.2,1339562
2024-03-12,91.53,91.97,90.86,91.73,769507
2024-03-11,91.6,91.99,90.73,91.81,1104844
2024-03-08,93.22,93.45,91.6,92.13,1155846
2024-03-07,90.78,91.28,90.08,90.32,873889
2024-03-06,89.59,90.84,89.35,90.58,863625
2024-03-05,89.18,90.31,88.98,89.34,773890
2024-03-04,88.68,89.89,88.34,89.39,759274
2024-03-01,89.07,89.49,88.2,88.68,1105800
2024-02-29,88.04,89.29,87.74,89.07,1659011
2024-02-28,87.76,88.26,87.33,87.6,950356
2024-02-27,87.24,87.73,86.86,87.67,1027517
2024-02-26,86.0,87.15,85.87,87.11,1098710
2024-02-23,85.41,86.14,85.24,85.97,922684
2024-02-22,85.6,86.05,85.34,85.38,1048798
2024-02-21,84.36,85.57,84.0,85.22,1024709
2024-02-20,84.86,85.45,84.42,84.58,1076175
2024-02-16,86.2,87.01,85.56,85.69,1096572
2024-02-15,86.49,86.99,86.16,86.21,1949209
2024-02-14,86.79,86.95,86.02,86.32,1321474
2024-02-13,86.8,86.98,85.06,86.0,1302812
2024-02-12,87.08,88.16,86.9,87.47,808166
2024-02-09,87.58,88.0,87.0,87.2,977261
2024-02-08,87.75,88.41,87.02,87.59,1246767
2024-02-07,86.55,87.97,86.23,87.71,1779762
2024-02-06,85.89,86.4,85.37,86.09,851011
2024-02-05,85.47,85.76,84.61,85.27,915598
2024-02-02,85.42,86.51,85.22,86.0,922285
2024-02-01,85.02,85.93,84.29,85.81,1060945
2024-01-31,86.0,86.04,84.69,84.71,1296329
2024-01-30,85.68,86.55,85.56,86.0,1096303
2024-01-29,84.86,85.88,84.73,85.77,1377556
2024-01-26,86.49,86.65,84.51,84.83,1461304
2024-01-25,86.32,86.54,84.98,86.16,1862925
2024-01-24,82.52,86.35,82.11,85.55,3259096
2024-01-23,79.7,80.33,78.75,79.33,1568818
2024-01-22,79.0,79.77,78.91,79.28,1077159
2024-01-19,78.5,78.81,77.84,78.79,1270460
2024-01-18,77.49,78.42,77.15,78.34,923650
2024-01-17,77.0,78.33,76.98,77.08,917680
2024-01-16,79.0,79.14,77.1,77.55,1483144
2024-01-12,78.69,79.51,78.47,79.38,1029624
2024-01-11,78.09,78.2,77.12,78.08,1014478
2024-01-10,78.46,78.67,77.87,78.19,697506
2024-01-09,78.28,78.29,77.75,78.24,655361
2024-01-08,78.11,78.81,77.63,78.78,757377
2024-01-05,78.47,79.07,78.05,78.6,1500647
2024-01-04,78.5,79.45,78.5,78.65,1091511
2024-01-03,79.99,80.38,78.44,78.5,1359828
2024-01-02,80.42,81.59,80.07,80.43,1322755
2023-12-29,80.59,80.95,80.29,80.42,661575
2023-12-28,80.84,81.07,80.46,80.75,603963
2023-12-27,80.5,80.99,80.38,80.71,899628
2023-12-26,80.45,81.01,80.1,80.73,678910
2023-12-22,80.16,81.18,80.04,80.43,835062
2023-12-21,79.92,80.13,79.05,80.07,994362
2023-12-20,79.93,80.97,79.24,79.28,1501896
2023-12-19,79.63,80.03,78.48,80.01,1182428
2023-12-18,79.59,79.93,78.98,79.6,1037633
2023-12-15,79.1,79.73,78.74,79.34,2118614
2023-12-14,79.2,79.79,78.74,79.62,1311501
2023-12-13,77.35,79.0,77.01,78.78,1891485
2023-12-12,77.32,77.87,76.89,77.43,817426
2023-12-11,76.01,77.16,75.81,77.14,1085031
2023-12-08,76.5,76.67,75.7,75.93,1123796
2023-12-07,76.68,76.83,75.73,76.25,1098826
2023-12-06,76.61,77.34,76.48,76.63,863185
2023-12-05,77.04,77.11,76.31,76.38,1200160
2023-12-04,77.35,77.66,76.66,77.27,1496022
2023-12-01,76.65,78.39,76.42,77.88,1336724
2023-11-30,75.03,76.76,74.61,76.66,1977094
2023-11-29,76.91,76.96,74.13,74.83,2346149
