date,open,high,low,close,volume
2024-03-28,49.99,50.24,49.95,50.19,1290277
2024-03-27,49.55,50.14,49.53,50.14,2290516
2024-03-26,50.11,50.2,49.63,49.63,3464213
2024-03-25,50.1,50.21,49.59,49.64,3977565
2024-03-22,49.96,50.28,49.92,49.99,2356868
2024-03-21,49.44,49.59,49.35,49.46,2515404
2024-03-20,49.45,49.49,49.11,49.44,2073855
2024-03-19,49.92,50.04,49.72,49.86,4792097
2024-03-18,48.63,48.75,48.42,48.52,1934247
2024-03-15,49.17,49.25,48.88,48.94,2246154
2024-03-14,49.79,49.82,49.18,49.28,2770010
2024-03-13,49.78,49.95,49.69,49.76,2218176
2024-03-12,49.49,49.75,49.41,49.65,3501844
2024-03-11,49.3,49.43,49.12,49.36,2488268
2024-03-08,49.17,49.32,49.06,49.18,3754294
2024-03-07,48.97,49.06,48.87,48.98,2672396
2024-03-06,49.13,49.25,48.99,49.02,2378912
2024-03-05,49.15,49.3,49.0,49.04,1429063
2024-03-04,49.0,49.17,48.99,49.14,1470904
2024-03-01,48.93,49.18,48.66,49.15,2345788
2024-02-29,49.14,49.16,48.85,48.97,1891631
2024-02-28,48.97,49.24,48.93,49.07,1697392
2024-02-27,49.56,49.76,49.34,49.61,2327069
2024-02-26,50.74,50.75,50.43,50.47,1692201
2024-02-23,50.72,50.83,50.6,50.66,1945344
2024-02-22,50.41,50.76,50.21,50.72,2450238
2024-02-21,51.08,51.24,51.03,51.22,2322155
2024-02-20,51.06,51.43,50.99,51.04,2280476
2024-02-16,50.55,50.85,50.38,50.7,3484237
2024-02-15,50.08,50.32,49.99,50.09,2180504
2024-02-14,50.29,50.29,49.79,50.04,2177154
2024-02-13,50.51,50.57,49.98,50.1,3113228
2024-02-12,50.3,50.61,50.2,50.59,2076567
2024-02-09,50.57,50.7,50.33,50.61,2783050
2024-02-08,51.0,51.25,50.47,50.68,4882057
2024-02-07,49.4,49.49,48.85,48.9,4365497
2024-02-06,49.53,49.93,49.48,49.87,3399228
2024-02-05,49.1,49.32,48.9,49.25,2672496
2024-02-02,49.12,49.26,48.78,49.09,2672248
2024-02-01,48.68,49.51,48.54,49.51,2103547
2024-01-31,49.3,49.37,48.56,48.69,2205200
2024-01-30,49.05,49.12,48.81,49.04,4020581
2024-01-29,48.4,48.78,48.33,48.76,2897859
2024-01-26,48.49,48.63,48.32,48.37,6184942
2024-01-25,47.24,47.64,47.08,47.62,5683232
2024-01-24,47.6,47.63,47.11,47.11,2504144
2024-01-23,47.29,47.58,47.24,47.47,2828295
2024-01-22,47.08,47.19,46.92,46.99,2629772
2024-01-19,47.07,47.27,46.78,47.17,2215426
2024-01-18,47.25,47.32,47.01,47.18,2513178
2024-01-17,47.66,47.8,47.51,47.72,3368150
2024-01-16,48.5,48.53,48.06,48.19,2911657
2024-01-12,49.37,49.43,49.06,49.14,2450023
