date,open,high,low,close,volume
2024-03-28,58.08,58.1,58.06,58.07,1840716
2024-03-27,58.11,58.14,58.11,58.12,2857901
2024-03-26,58.05,58.07,58.03,58.06,2402662
2024-03-25,58.07,58.08,58.04,58.06,1728971
2024-03-22,58.08,58.09,58.07,58.08,2015951
2024-03-21,58.05,58.06,58.02,58.03,4998915
2024-03-20,57.96,58.04,57.95,58.03,2099531
2024-03-19,57.93,57.95,57.93,57.95,2877977
2024-03-18,57.89,57.91,57.88,57.88,1865913
2024-03-15,57.9,57.91,57.89,57.89,2048680
2024-03-14,57.96,57.96,57.92,57.93,2246126
2024-03-13,58.0,58.0,57.97,57.97,3590520
2024-03-12,58.03,58.03,57.98,57.99,1644119
2024-03-11,58.08,58.09,58.05,58.06,1943014
2024-03-08,58.13,58.15,58.08,58.1,2069476
2024-03-07,58.06,58.07,58.03,58.07,2023994
2024-03-06,58.03,58.05,57.99,58.0,2032420
2024-03-05,57.99,58.03,57.97,58.0,1931762
2024-03-04,57.96,57.98,57.93,57.94,2673536
2024-03-01,57.91,58.02,57.88,57.99,2299246
2024-02-29,58.08,58.12,58.07,58.08,2652090
2024-02-28,58.03,58.06,58.02,58.06,4225768
2024-02-27,58.0,58.02,57.98,58.0,4188690
2024-02-26,58.02,58.03,57.97,57.98,4701623
2024-02-23,57.99,58.04,57.99,58.01,12121776
2024-02-22,58.0,58.04,57.98,58.0,5304915
2024-02-21,58.07,58.09,58.0,58.02,5111359
2024-02-20,58.08,58.1,58.06,58.07,6711341
2024-02-16,57.98,58.02,57.97,58.01,2579434
2024-02-15,58.11,58.13,58.06,58.09,1910625
2024-02-14,57.99,58.06,57.98,58.04,1946767
2024-02-13,58.02,58.03,57.94,57.96,2284878
2024-02-12,58.14,58.17,58.13,58.14,2059365
2024-02-09,58.11,58.14,58.11,58.13,1464721
2024-02-08,58.16,58.18,58.14,58.16,1733048
2024-02-07,58.17,58.23,58.16,58.16,1990326
2024-02-06,58.12,58.2,58.11,58.18,2233219
2024-02-05,58.14,58.16,58.09,58.11,27339496
2024-02-02,58.22,58.24,58.17,58.2,2430293
2024-02-01,58.38,58.45,58.34,58.39,2769815
2024-01-31,58.48,58.57,58.47,58.54,3634706
2024-01-30,58.44,58.46,58.36,58.39,2309588
2024-01-29,58.41,58.44,58.39,58.43,3114392
2024-01-26,58.39,58.39,58.36,58.37,2395322
2024-01-25,58.37,58.41,58.35,58.41,1968239
2024-01-24,58.39,58.4,58.3,58.31,1971045
2024-01-23,58.31,58.34,58.29,58.32,2593016
2024-01-22,58.32,58.35,58.31,58.32,2981383
2024-01-19,58.3,58.33,58.28,58.3,3118082
2024-01-18,58.35,58.37,58.33,58.35,2529681
