date,open,high,low,close,volume
2024-03-28,168.07,171.24,166.01,170.69,3318006
2024-03-27,168.1,169.67,165.63,167.81,3098551
2024-03-26,168.86,170.67,166.77,167.25,3025483
2024-03-25,170.7,172.46,168.43,168.49,2767913
2024-03-22,170.03,171.21,168.86,169.64,3497489
2024-03-21,170.37,171.85,168.86,170.98,3685736
2024-03-20,166.58,171.16,166.06,169.57,3952572
2024-03-19,166.09,168.0,165.0,167.39,3957016
2024-03-18,165.35,167.33,163.1,166.29,4444542
2024-03-15,161.61,166.1,161.6,163.7,9134365
2024-03-14,159.41,161.1,157.65,159.39,3561439
2024-03-13,154.0,160.48,154.0,158.63,4772237
2024-03-12,150.29,152.35,148.2,150.73,2976287
2024-03-11,148.98,151.18,147.62,150.54,2795394
2024-03-08,148.66,150.7,148.33,149.53,2085831
2024-03-07,145.37,150.5,143.93,149.03,3613669
2024-03-06,145.51,145.75,142.2,144.44,2885888
2024-03-05,144.59,147.59,143.08,144.31,2678308
2024-03-04,143.51,147.43,142.98,144.7,4296374
2024-03-01,142.45,144.14,142.37,143.28,2003903
2024-02-29,139.25,141.85,138.25,141.46,4222523
2024-02-28,142.26,142.28,138.4,139.21,3895345
2024-02-27,146.36,146.95,142.91,142.98,3047819
2024-02-26,141.94,147.06,141.19,145.09,3350614
2024-02-23,139.01,141.93,138.46,141.58,2520800
2024-02-22,136.08,139.92,134.39,139.78,3467779
2024-02-21,135.28,137.17,135.15,137.15,3130527
2024-02-20,139.01,139.21,134.66,135.03,4060549
2024-02-16,142.26,142.26,139.07,139.54,3002131
2024-02-15,140.24,143.43,140.06,141.99,2729935
2024-02-14,142.49,143.05,138.22,141.04,4085272
2024-02-13,142.05,142.88,139.84,141.57,2730542
2024-02-12,143.75,144.2,142.26,142.53,2825184
2024-02-09,141.82,143.28,141.16,143.06,3795009
2024-02-08,141.5,142.37,140.93,141.8,2673483
2024-02-07,138.3,141.2,137.0,141.18,3014906
2024-02-06,140.9,143.04,137.43,137.83,7279776
2024-02-05,137.11,141.01,135.78,140.41,3462507
2024-02-02,138.65,139.33,135.62,137.85,3639739
2024-02-01,139.58,141.29,133.82,138.29,4695308
2024-01-31,141.28,142.51,138.6,138.9,4273480
2024-01-30,137.51,142.02,137.14,141.89,4304129
2024-01-29,138.0,138.92,136.63,138.38,3464182
2024-01-26,134.46,137.98,133.87,137.91,5286098
2024-01-25,133.48,135.91,131.6,134.46,5293282
2024-01-24,130.48,130.89,129.27,130.15,3140836
2024-01-23,128.8,130.2,127.64,129.11,2883326
2024-01-22,127.72,129.63,126.52,129.12,2903021
2024-01-19,126.63,128.17,125.99,128.16,2964812
2024-01-18,125.88,126.45,124.02,125.96,2565609
2024-01-17,127.36,128.89,125.78,126.31,2764600
2024-01-16,132.51,135.74,129.02,129.3,3519399
2024-01-12,130.0,131.7,129.68,131.5,3276282
2024-01-11,125.68,128.09,125.49,128.0,2388126
2024-01-10,127.25,127.65,124.12,124.77,2714361
2024-01-09,128.8,128.87,126.68,127.17,2273329
2024-01-08,126.51,129.41,124.56,129.27,2756528
2024-01-05,130.51,131.35,128.07,129.0,2958153
2024-01-04,134.57,135.72,130.23,130.31,2586462
2024-01-03,130.59,135.12,130.52,133.74,3078014
2024-01-02,130.64,131.92,130.05,130.66,2638194
2023-12-29,130.75,131.01,129.32,130.0,1964013
2023-12-28,131.0,132.0,129.96,130.09,1661194
2023-12-27,132.76,133.25,131.45,131.82,1358141
2023-12-26,132.95,134.32,132.39,133.19,1807112
