date,open,high,low,close,volume
2024-03-28,42.02,42.24,42.02,42.14,168912
2024-03-27,41.72,42.1,41.72,42.06,298760
2024-03-26,41.82,41.95,41.68,41.68,136825
2024-03-25,41.63,41.9,41.63,41.79,192106
2024-03-22,41.75,41.87,41.58,41.62,142361
2024-03-21,41.78,41.99,41.7,41.75,160650
2024-03-20,41.13,41.79,41.13,41.67,159187
2024-03-19,41.02,41.34,40.95,41.17,320756
2024-03-18,40.89,40.99,40.78,40.82,114572
2024-03-15,40.96,41.02,40.75,40.85,192311
2024-03-14,41.15,41.19,40.61,40.77,116525
2024-03-13,40.96,41.19,40.92,41.1,153827
2024-03-12,41.09,41.26,40.97,41.07,239137
2024-03-11,41.02,41.28,40.96,41.08,158548
2024-03-08,41.15,41.41,41.1,41.2,160350
2024-03-07,40.76,40.92,40.75,40.91,218537
2024-03-06,40.66,40.79,40.55,40.58,193236
2024-03-05,40.39,40.53,40.14,40.2,119607
2024-03-04,40.44,40.55,40.32,40.44,210283
2024-03-01,40.35,40.61,40.16,40.6,360337
2024-02-29,40.29,40.41,40.04,40.23,302331
2024-02-28,40.0,40.16,39.93,40.05,141868
2024-02-27,40.42,40.52,40.35,40.45,208008
2024-02-26,40.49,40.65,40.36,40.42,191631
2024-02-23,40.54,40.7,40.52,40.59,121941
2024-02-22,40.58,40.7,40.5,40.6,206589
2024-02-21,40.29,40.56,40.24,40.53,177475
2024-02-20,40.28,40.45,40.17,40.27,156863
2024-02-16,40.2,40.54,40.2,40.35,247531
2024-02-15,39.99,40.5,39.99,40.45,276471
2024-02-14,39.77,39.84,39.54,39.84,204073
2024-02-13,39.93,39.93,39.23,39.39,359923
2024-02-12,40.34,40.64,40.34,40.46,169225
2024-02-09,40.1,40.37,40.03,40.26,266524
2024-02-08,40.4,40.5,40.27,40.45,282296
2024-02-07,40.66,40.7,40.4,40.51,180181
2024-02-06,40.18,40.66,40.1,40.66,222716
2024-02-05,40.25,40.34,40.01,40.19,271720
2024-02-02,40.56,40.56,40.15,40.3,153750
2024-02-01,40.64,40.88,40.45,40.81,215975
2024-01-31,40.91,41.25,40.6,40.64,260778
2024-01-30,40.76,40.8,40.52,40.7,150645
2024-01-29,40.68,40.99,40.62,40.9,170216
2024-01-26,40.68,40.77,40.56,40.61,194194
2024-01-25,40.6,40.66,40.41,40.56,266832
2024-01-24,40.84,40.9,40.41,40.41,446758
2024-01-23,40.45,40.45,40.1,40.27,237478
2024-01-22,40.45,40.74,40.45,40.48,267607
2024-01-19,40.12,40.54,39.99,40.47,1044749
2024-01-18,40.01,40.09,39.87,40.07,427422
2024-01-17,39.94,40.05,39.78,40.0,272355
2024-01-16,41.09,41.19,40.76,40.82,296527
2024-01-12,41.88,42.05,41.77,41.79,327929
2024-01-11,41.61,41.68,41.25,41.57,135285
2024-01-10,41.57,41.74,41.54,41.54,191515
2024-01-09,41.52,41.59,41.4,41.48,135018
2024-01-08,41.42,41.89,41.42,41.81,272693
2024-01-05,41.47,41.93,41.46,41.57,198873
2024-01-04,41.33,41.62,41.33,41.37,134804
2024-01-03,41.5,41.6,41.28,41.48,292798
2024-01-02,42.0,42.26,41.85,41.89,278421
2023-12-29,42.46,42.68,42.39,42.59,416771
2023-12-28,42.51,42.73,42.49,42.52,345695
2023-12-27,42.17,42.52,42.05,42.46,329041
2023-12-26,42.0,42.13,41.77,42.04,507039
2023-12-22,41.77,42.18,41.76,42.03,345771
2023-12-21,41.7,41.8,41.44,41.74,447219
2023-12-20,41.56,41.79,41.1,41.1,331676
2023-12-19,41.49,41.69,41.34,41.62,221699
2023-12-18,41.4,41.45,41.15,41.17,298734
2023-12-15,43.35,43.4,42.87,42.88,410755
2023-12-14,43.27,43.7,43.27,43.52,263072
2023-12-13,41.47,42.5,41.26,42.5,352535
2023-12-12,41.38,41.59,41.2,41.55,237305
2023-12-11,41.35,41.57,41.31,41.5,222478
2023-12-08,41.36,41.64,41.26,41.49,181927
2023-12-07,41.59,41.92,41.51,41.8,213154
2023-12-06,41.7,41.92,41.54,41.54,276143
2023-12-05,41.28,41.36,41.13,41.32,402926
2023-12-04,41.25,41.54,41.24,41.45,320790
2023-12-01,40.91,41.72,40.74,41.6,343800
2023-11-30,40.93,41.1,40.76,40.9,209700
2023-11-29,41.05,41.28,41.02,41.06,171500
2023-11-28,40.95,41.15,40.74,41.05,163600
2023-11-27,40.88,41.06,40.85,40.95,826300
2023-11-24,40.91,41.2,40.84,41.06,99500
2023-11-22,40.69,40.8,40.55,40.71,151100
2023-11-21,40.8,40.88,40.55,40.58,271500
2023-11-20,40.7,41.0,40.7,40.94,197700
2023-11-17,40.58,40.71,40.46,40.65,140500
2023-11-16,40.47,40.58,40.24,40.37,245600
2023-11-15,40.79,40.88,40.6,40.64,248400
2023-11-14,39.69,40.65,39.69,40.55,263800
2023-11-13,38.7,38.95,38.62,38.89,241400
2023-11-10,38.79,39.03,38.55,38.93,249700
2023-11-09,39.23,39.38,38.71,38.78,210500
2023-11-08,39.08,39.32,39.03,39.12,388200
2023-11-07,39.13,39.31,39.0,39.15,258100
2023-11-06,39.71,39.86,39.39,39.46,459100
2023-11-03,39.55,40.16,39.55,39.92,375100
2023-11-02,38.67,39.05,38.66,38.98,288900
2023-11-01,37.44,37.85,37.4,37.79,266800
2023-10-31,37.17,37.45,37.17,37.39,352700
2023-10-30,37.02,37.24,36.88,37.1,277600
2023-10-27,37.06,37.15,36.62,36.73,218000
2023-10-26,36.66,36.88,36.58,36.73,606100
2023-10-25,37.02,37.14,36.78,36.85,243600
2023-10-24,37.13,37.42,37.13,37.32,263500
2023-10-23,36.87,37.26,36.72,37.02,385000
2023-10-20,37.12,37.37,37.08,37.12,422700
2023-10-19,37.43,37.73,37.23,37.25,268200
2023-10-18,38.0,38.2,37.67,37.73,269700
2023-10-17,38.15,38.7,38.15,38.49,762500
2023-10-16,38.12,38.45,38.12,38.42,174600
2023-10-13,38.5,38.52,38.14,38.23,150200
2023-10-12,39.16,39.16,38.63,38.74,233800
2023-10-11,39.13,39.36,39.02,39.19,547800
2023-10-10,38.79,39.15,38.79,39.07,197200
2023-10-09,38.14,38.6,38.14,38.48,185000
2023-10-06,38.22,38.81,38.08,38.8,168300
2023-10-05,38.18,38.45,38.15,38.38,459200
2023-10-04,37.81,38.0,37.66,37.87,401700
2023-10-03,38.07,38.16,37.8,37.99,303000
2023-10-02,38.76,38.84,38.31,38.41,686200
2023-09-29,39.27,39.48,38.78,38.93,294700
2023-09-28,38.67,38.86,38.57,38.75,149500
2023-09-27,38.79,38.87,38.49,38.66,339300
2023-09-26,38.98,39.11,38.73,38.85,208800
2023-09-25,39.42,39.52,39.28,39.45,255300
2023-09-22,39.79,39.91,39.64,39.67,123000
2023-09-21,39.78,39.95,39.45,39.46,264500
2023-09-20,40.16,40.52,40.06,40.06,166300
2023-09-19,40.05,40.15,39.92,39.97,159600
2023-09-18,40.02,40.12,39.86,39.95,166200
2023-09-15,40.34,40.49,40.25,40.25,218600
2023-09-14,40.29,40.63,40.29,40.6,162800
2023-09-13,40.07,40.28,40.01,40.04,147900
2023-09-12,40.17,40.35,40.13,40.29,119200
2023-09-11,40.42,40.46,40.3,40.36,786600
2023-09-08,40.34,40.49,40.25,40.33,162200
2023-09-07,40.31,40.5,40.3,40.44,273200
