date,open,high,low,close,volume
2024-03-28,86.03,86.77,86.03,86.48,4363230
2024-03-27,84.67,85.9,84.47,85.87,5191426
2024-03-26,84.27,84.37,83.69,83.71,4922950
2024-03-25,84.65,84.96,84.05,84.05,5262467
2024-03-22,85.69,85.88,84.51,84.57,3923435
2024-03-21,86.13,86.75,85.86,86.38,3753231
2024-03-20,84.67,86.02,84.32,85.76,4605895
2024-03-19,85.15,85.52,84.69,85.2,4165654
2024-03-18,85.38,85.68,85.07,85.23,3030832
2024-03-15,84.56,85.52,84.54,85.19,4214317
2024-03-14,86.32,86.49,84.65,85.38,4155120
2024-03-13,86.97,87.51,86.4,86.68,3418657
2024-03-12,87.15,87.48,86.37,87.12,3308976
2024-03-11,87.54,88.07,86.94,87.31,3467248
2024-03-08,87.5,88.03,87.3,87.73,4546636
2024-03-07,87.21,87.42,86.3,86.73,3164131
2024-03-06,86.88,87.08,86.24,86.75,4999585
2024-03-05,86.91,87.54,85.92,86.32,4722582
2024-03-04,86.33,87.43,85.72,87.38,5319021
2024-03-01,85.42,86.57,84.53,86.57,6560902
2024-02-29,85.51,86.0,85.16,85.55,6595443
2024-02-28,83.55,85.35,83.46,84.83,5170751
2024-02-27,84.34,84.72,83.8,83.98,3857852
2024-02-26,84.59,85.04,83.72,83.88,5943372
2024-02-23,84.9,85.3,84.6,84.81,4695576
2024-02-22,84.96,85.28,84.67,84.85,5000632
2024-02-21,84.4,84.81,84.07,84.69,4053059
2024-02-20,83.88,84.56,83.48,84.22,4739937
2024-02-16,84.25,84.86,83.65,84.37,4781062
2024-02-15,84.07,85.34,84.02,85.25,5164804
2024-02-14,83.02,83.78,82.62,83.31,5264512
2024-02-13,82.58,82.68,81.54,82.66,6203679
2024-02-12,84.54,85.01,84.22,84.4,3949245
2024-02-09,84.2,84.52,83.43,84.38,3478053
2024-02-08,83.33,84.49,83.33,84.25,3697224
2024-02-07,83.99,84.07,83.1,83.57,5074181
2024-02-06,82.71,83.85,82.41,83.69,5482350
2024-02-05,83.3,83.3,82.33,82.58,6269376
2024-02-02,84.18,84.88,82.94,84.35,7935933
2024-02-01,83.8,85.44,83.34,85.41,8950704
2024-01-31,84.98,85.63,83.73,83.89,8892858
2024-01-30,85.13,85.43,84.54,84.7,4580926
2024-01-29,84.92,85.67,84.69,85.5,3592010
