date,open,high,low,close,volume
2024-03-28,141.42,142.78,141.2,142.58,358622
2024-03-27,138.73,141.45,138.73,141.42,232624
2024-03-26,139.53,139.98,137.68,137.74,198219
2024-03-25,138.98,139.48,138.6,139.42,113248
2024-03-22,139.36,139.59,138.56,138.66,86938
2024-03-21,140.16,141.05,139.58,139.58,157371
2024-03-20,139.19,140.21,138.89,139.7,125597
2024-03-19,138.28,139.47,138.18,139.31,165799
2024-03-18,137.77,138.91,136.96,138.02,122395
2024-03-15,137.0,138.28,136.83,137.62,103223
2024-03-14,138.43,138.61,136.48,137.57,101145
2024-03-13,138.56,139.7,138.29,138.58,178304
2024-03-12,138.58,138.7,136.88,137.72,158572
2024-03-11,138.22,139.37,137.67,138.95,334488
2024-03-08,138.51,138.74,137.29,138.29,269098
2024-03-07,138.16,138.51,137.82,137.99,151786
2024-03-06,136.57,137.69,136.47,137.02,155967
2024-03-05,136.42,138.67,135.19,135.71,279604
2024-03-04,133.26,136.23,133.26,135.99,200652
2024-03-01,134.21,134.21,132.1,133.76,320340
2024-02-29,134.86,135.58,133.83,134.37,148597
2024-02-28,133.68,134.44,133.39,134.27,183297
2024-02-27,131.99,133.89,131.62,133.78,197558
2024-02-26,133.47,133.47,131.1,131.31,202390
2024-02-23,133.35,134.5,133.02,133.81,472238
2024-02-22,133.29,133.63,132.12,133.09,159555
2024-02-21,133.27,134.39,132.81,134.16,140001
2024-02-20,132.5,134.07,132.17,132.55,188305
2024-02-16,132.72,133.25,131.42,132.65,223823
2024-02-15,130.96,132.81,130.95,132.75,252369
2024-02-14,130.16,130.72,129.54,130.51,334733
2024-02-13,131.18,131.73,128.05,129.79,417631
2024-02-12,130.46,132.12,130.24,132.12,256069
2024-02-09,129.59,130.59,129.35,130.49,199709
2024-02-08,130.4,130.4,128.82,129.92,232741
2024-02-07,131.06,131.28,130.1,130.74,152016
2024-02-06,130.05,131.0,129.64,130.67,207858
2024-02-05,131.7,131.75,130.06,130.07,219647
2024-02-02,133.79,134.21,132.02,132.91,396386
2024-02-01,132.16,135.24,131.75,135.22,279188
2024-01-31,133.94,134.65,131.96,132.5,1195102
2024-01-30,132.78,133.81,131.93,132.98,816699
2024-01-29,132.22,133.54,131.5,133.11,231357
2024-01-26,132.12,132.72,131.82,132.18,191906
2024-01-25,131.0,131.89,130.16,131.89,206062
2024-01-24,132.23,132.48,129.37,129.56,267642
2024-01-23,131.35,131.9,130.75,131.42,257443
2024-01-22,131.67,132.67,130.68,131.18,242874
2024-01-19,132.07,132.07,130.83,131.63,246400
2024-01-18,132.64,132.64,131.1,131.78,195551
