date,open,high,low,close,volume
2024-03-28,41.71,41.89,41.68,41.77,6862745
2024-03-27,41.54,41.64,41.47,41.63,6784158
2024-03-26,41.65,41.65,41.52,41.52,8532525
2024-03-25,41.55,41.67,41.55,41.61,8294913
2024-03-22,41.69,41.71,41.56,41.61,8168761
2024-03-21,42.09,42.09,41.85,41.88,8668719
2024-03-20,41.57,41.87,41.47,41.85,9988170
2024-03-19,41.52,41.6,41.35,41.52,7812717
2024-03-18,41.92,41.92,41.65,41.69,6729251
2024-03-15,41.75,41.77,41.58,41.6,5914633
2024-03-14,42.04,42.06,41.67,41.76,6643027
2024-03-13,41.98,42.07,41.93,41.99,10209243
2024-03-12,42.09,42.24,41.98,42.23,6316542
2024-03-11,41.81,42.0,41.81,41.87,6976407
2024-03-08,41.9,42.01,41.71,41.76,12121136
2024-03-07,41.7,41.88,41.6,41.83,7739612
2024-03-06,41.66,41.79,41.6,41.63,10248499
2024-03-05,41.23,41.35,41.06,41.12,7463309
2024-03-04,41.6,41.6,41.36,41.4,8596738
2024-03-01,41.35,41.63,41.27,41.57,15639197
2024-02-29,41.15,41.19,40.96,41.02,10169381
2024-02-28,41.29,41.29,40.88,40.93,6849123
2024-02-27,41.57,41.64,41.54,41.57,11725919
2024-02-26,41.44,41.53,41.4,41.44,9508609
2024-02-23,41.58,41.63,41.44,41.58,8514604
2024-02-22,41.55,41.62,41.41,41.57,14835734
2024-02-21,41.22,41.35,41.09,41.21,11952743
2024-02-20,41.23,41.32,41.05,41.17,8923703
2024-02-16,41.04,41.22,41.02,41.09,8155703
2024-02-15,40.74,40.9,40.72,40.89,7562546
2024-02-14,40.55,40.69,40.49,40.64,9530689
2024-02-13,40.38,40.49,39.91,40.06,35414640
2024-02-12,40.58,41.0,40.55,40.81,8682695
2024-02-09,40.49,40.67,40.32,40.63,8825231
2024-02-08,40.53,40.58,40.38,40.47,7914497
2024-02-07,40.55,40.75,40.52,40.68,9253767
2024-02-06,40.38,40.72,40.31,40.71,10777693
2024-02-05,39.52,39.79,39.49,39.73,10195402
2024-02-02,39.59,39.67,39.43,39.63,10067333
2024-02-01,39.78,39.93,39.69,39.91,12720793
2024-01-31,39.7,39.98,39.56,39.64,9833806
2024-01-30,39.74,39.82,39.64,39.79,8526983
2024-01-29,40.26,40.27,39.95,40.17,12469949
2024-01-26,40.08,40.27,40.05,40.16,7775340
2024-01-25,40.22,40.3,40.04,40.15,8637833
2024-01-24,40.27,40.3,40.01,40.05,11096756
2024-01-23,39.35,39.59,39.32,39.54,11831356
2024-01-22,39.19,39.41,39.16,39.32,10555591
2024-01-19,39.36,39.65,39.2,39.63,9934813
2024-01-18,39.25,39.35,39.11,39.27,10678156
2024-01-17,38.9,39.06,38.83,39.04,15727460
2024-01-16,39.94,39.97,39.52,39.57,12668454
2024-01-12,40.53,40.67,40.38,40.41,7892253
2024-01-11,40.31,40.33,39.97,40.22,12870620
2024-01-10,40.12,40.13,39.98,40.05,8019755
2024-01-09,40.09,40.16,40.01,40.09,13068528
2024-01-08,40.19,40.57,40.16,40.56,11027549
2024-01-05,40.5,40.72,40.44,40.49,8938392
2024-01-04,40.48,40.62,40.4,40.43,9929054
2024-01-03,40.36,40.61,40.29,40.5,9683165
2024-01-02,40.73,40.83,40.53,40.62,11730186
2023-12-29,40.97,41.23,40.97,41.1,10314134
2023-12-28,41.04,41.19,40.98,40.99,11344559
2023-12-27,40.62,40.78,40.61,40.74,9863960
2023-12-26,40.5,40.62,40.45,40.52,12500913
2023-12-22,40.18,40.32,40.1,40.26,13387275
2023-12-21,40.26,40.42,40.15,40.4,15129748
2023-12-20,40.1,40.17,39.61,39.63,16805539
2023-12-19,40.29,40.53,40.25,40.48,9147304
2023-12-18,40.11,40.22,40.0,40.2,11145330
2023-12-15,41.31,41.36,41.07,41.07,11128717
2023-12-14,41.0,41.37,40.99,41.31,13440642
