date,open,high,low,close,volume
2024-03-28,278.49,279.8,277.12,279.08,5843804
2024-03-27,280.25,281.25,276.98,279.02,5190674
2024-03-26,284.13,284.13,278.41,280.6,8752364
2024-03-25,283.01,283.5,280.04,281.21,8519433
2024-03-22,290.0,290.49,282.89,283.26,8744121
2024-03-21,289.97,290.96,287.9,290.37,5057559
2024-03-20,287.64,289.87,286.72,289.28,6104955
2024-03-19,286.66,288.06,285.25,287.35,6595183
2024-03-18,283.87,286.23,283.25,285.05,4095632
2024-03-15,283.55,285.63,282.64,283.04,9845181
2024-03-14,288.96,289.04,284.55,286.41,5484511
2024-03-13,284.66,286.1,283.82,285.14,5783867
2024-03-12,281.31,284.48,280.29,283.92,7988665
2024-03-11,279.45,280.77,277.99,280.56,4614232
2024-03-08,279.0,281.67,278.83,280.04,3929002
2024-03-07,280.88,281.17,276.16,278.26,5668483
2024-03-06,280.0,282.0,279.31,280.43,4535185
2024-03-05,280.27,280.99,277.68,279.38,6228066
2024-03-04,282.81,283.0,278.13,280.53,5920308
2024-03-01,283.2,284.91,282.11,283.16,3955728
2024-02-29,285.5,285.66,282.18,282.64,6633684
2024-02-28,282.1,286.13,282.08,285.63,4358820
2024-02-27,284.17,284.17,281.54,283.17,4145383
2024-02-26,283.04,285.35,282.66,284.15,3856911
2024-02-23,284.72,285.95,283.5,283.6,5107693
2024-02-22,279.18,284.06,278.98,283.75,5100191
2024-02-21,274.63,276.97,273.53,276.76,4771105
2024-02-20,274.57,276.84,273.34,275.15,6157178
2024-02-16,280.96,281.12,277.87,278.56,6630744
2024-02-15,277.65,281.12,277.56,280.98,4834758
2024-02-14,276.47,277.64,274.71,277.56,4218350
2024-02-13,273.75,278.0,272.76,275.81,5493833
2024-02-12,276.43,276.67,274.24,275.07,3676232
2024-02-09,275.0,277.18,274.09,276.43,4618283
2024-02-08,279.54,279.66,275.28,275.78,5833409
2024-02-07,279.38,279.54,277.06,279.39,4785902
2024-02-06,274.8,276.88,274.03,276.76,4400250
2024-02-05,277.4,278.0,275.13,275.58,4899140
2024-02-02,277.61,278.5,275.68,277.18,4848891
2024-02-01,273.39,277.19,273.36,277.05,7064976
2024-01-31,277.12,279.99,273.18,273.26,6139312
2024-01-30,274.59,278.64,274.19,277.15,6548999
2024-01-29,266.97,275.07,266.71,273.66,6574480
2024-01-26,265.94,270.87,265.6,267.94,8586548
2024-01-25,271.95,272.78,270.8,272.61,6894942
2024-01-24,272.57,272.86,271.08,271.65,5021703
2024-01-23,271.55,271.87,269.91,271.26,5882995
2024-01-22,272.24,272.35,270.36,271.2,5984272
2024-01-19,268.18,271.15,267.05,270.9,7226520
2024-01-18,267.88,268.78,266.42,268.14,6694264
2024-01-17,264.42,267.1,264.39,266.63,5118722
2024-01-16,263.52,265.66,262.35,265.24,6196414
2024-01-12,265.13,265.55,263.71,264.17,4656238
2024-01-11,265.46,266.19,262.4,264.03,5598998
2024-01-10,264.97,265.37,262.86,264.56,4355784
2024-01-09,262.0,263.62,261.14,263.33,7055782
2024-01-08,260.94,262.62,259.95,262.54,4659030
2024-01-05,260.78,261.46,258.75,259.69,3748636
2024-01-04,258.07,261.04,258.0,259.61,3842976
2024-01-03,258.55,258.86,256.86,257.98,4148294
2024-01-02,259.61,260.09,257.67,258.87,5470986
2023-12-29,260.57,261.46,259.67,260.35,4074872
2023-12-28,258.54,260.97,258.54,260.4,3020454
2023-12-27,259.25,259.77,258.31,258.93,4034658
2023-12-26,258.53,259.74,258.53,259.16,2085089
2023-12-22,260.0,261.21,258.22,258.43,5111707
2023-12-21,257.51,259.99,257.04,259.54,6246652
2023-12-20,260.5,260.82,257.08,257.11,7240857
2023-12-19,258.61,260.34,257.2,259.99,8731209
2023-12-18,258.7,259.59,257.95,258.37,6041140
2023-12-15,254.51,258.37,254.45,258.03,13373952
2023-12-14,263.19,263.25,256.4,258.73,8168683
2023-12-13,259.15,262.48,258.69,262.38,4859887
2023-12-12,257.3,259.72,256.4,259.56,5946564
2023-12-11,255.0,257.63,255.0,256.52,6479312
2023-12-08,255.0,256.04,253.87,255.74,3732515
2023-12-07,254.89,256.14,253.5,255.82,3589256
2023-12-06,255.8,256.83,253.53,254.29,3874048
2023-12-05,254.19,254.82,252.14,254.61,4199094
2023-12-04,255.91,257.39,254.35,254.44,5247450
2023-12-01,255.79,256.91,253.9,256.45,3939400
2023-11-30,254.25,256.77,253.17,256.68,6874700
