date,open,high,low,close,volume
2024-03-28,60.66,60.77,60.16,60.17,17535100
2024-03-27,60.87,61.05,60.38,60.72,14363410
2024-03-26,60.46,60.83,60.23,60.51,13738342
2024-03-25,60.87,60.99,60.36,60.57,14186627
2024-03-22,61.32,61.53,60.85,60.87,14029440
2024-03-21,61.28,61.66,61.05,61.45,14265872
2024-03-20,60.84,61.28,60.74,61.25,12007593
2024-03-19,60.97,61.07,60.6,60.87,12353624
2024-03-18,60.69,60.9,60.39,60.86,16801658
2024-03-15,60.68,61.15,60.46,60.68,50946329
2024-03-14,61.28,61.44,60.6,61.02,16584660
2024-03-13,61.26,61.46,60.88,61.28,15935187
2024-03-12,60.95,61.57,60.65,61.41,16613062
2024-03-11,60.1,60.71,59.87,60.66,14153969
2024-03-08,60.0,60.28,59.73,60.12,12143645
2024-03-07,61.0,61.07,60.35,60.36,16195303
2024-03-06,60.12,60.62,60.04,60.57,12698714
2024-03-05,59.87,60.34,59.58,60.04,19676884
2024-03-04,58.5,59.39,58.4,59.3,16033298
2024-03-01,58.8,58.85,58.2,58.76,19030919
2024-02-29,59.45,59.49,58.59,58.61,29245142
2024-02-28,59.55,59.76,59.31,59.62,14803289
2024-02-27,59.64,59.8,59.22,59.59,18012749
2024-02-26,59.12,59.84,58.18,59.6,32154765
2024-02-23,58.7,59.22,58.44,58.52,74365841
2024-02-22,57.96,58.49,57.77,58.47,29512964
2024-02-21,58.33,58.53,57.6,57.9,40551571
2024-02-20,59.49,60.45,58.41,58.62,71788685
2024-02-16,56.76,57.31,56.43,56.79,22373563
2024-02-15,56.6,56.62,55.99,56.43,16948873
2024-02-14,56.25,56.29,55.85,56.2,18484620
2024-02-13,56.87,57.02,56.09,56.38,18574233
2024-02-12,56.41,56.79,56.35,56.77,14795054
2024-02-09,56.46,56.58,56.31,56.43,14329880
2024-02-08,56.46,56.85,56.38,56.46,14427941
2024-02-07,56.76,56.89,56.4,56.46,17082482
2024-02-06,56.26,56.65,56.11,56.6,14189798
2024-02-05,56.67,56.67,56.02,56.22,19145089
2024-02-02,56.05,56.86,55.97,56.52,21670707
2024-02-01,55.23,56.12,55.06,56.1,20792573
2024-01-31,55.93,55.93,55.04,55.08,26134901
2024-01-30,54.9,55.27,54.54,55.2,15270027
2024-01-29,54.78,55.13,54.51,55.01,18240330
2024-01-26,54.35,54.79,54.22,54.76,15746325
2024-01-25,53.8,54.29,53.47,54.28,16369618
2024-01-24,54.3,54.35,53.44,53.5,22932883
2024-01-23,54.04,54.28,53.92,54.27,12066528
2024-01-22,54.26,54.32,53.83,54.13,13938394
2024-01-19,54.48,54.52,53.81,54.13,19175314
2024-01-18,53.72,54.46,53.56,54.41,18190629
2024-01-17,53.79,53.99,53.54,53.69,14827676
2024-01-16,53.81,54.13,53.74,53.94,17032607
2024-01-12,53.79,53.85,53.46,53.77,13628980
2024-01-11,53.78,53.96,53.39,53.7,14355221
2024-01-10,53.19,53.83,53.19,53.76,20122058
2024-01-09,52.64,53.11,52.58,53.1,23322401
2024-01-08,52.23,52.76,52.22,52.75,20680898
2024-01-05,52.64,52.7,51.87,52.24,21709524
2024-01-04,53.07,53.18,52.5,52.59,19282489
2024-01-03,53.26,53.43,52.98,53.1,18756078
2024-01-02,52.42,53.18,52.4,53.1,23539700
2023-12-29,52.51,52.69,52.39,52.55,21948219
2023-12-28,52.59,52.78,52.5,52.52,16776082
2023-12-27,52.1,52.65,52.05,52.63,19895983
2023-12-26,52.22,52.33,52.04,52.14,11679974
2023-12-22,51.82,52.38,51.72,52.22,19405660
2023-12-21,51.33,51.69,51.3,51.6,20087804
2023-12-20,51.81,52.05,51.21,51.24,21967722
2023-12-19,51.61,51.9,51.36,51.84,24417117
2023-12-18,51.12,51.69,51.04,51.66,26316038
2023-12-15,50.59,51.15,50.51,50.91,70003657
2023-12-14,51.17,51.31,50.64,50.72,30891285
2023-12-13,50.52,51.35,50.21,51.35,35348714
2023-12-12,50.41,50.57,50.08,50.45,21382041
2023-12-11,50.38,50.48,49.85,50.41,31883293
2023-12-08,50.67,50.74,50.08,50.29,34069495
2023-12-07,51.45,51.51,50.74,50.82,25362604
2023-12-06,51.85,51.94,51.22,51.35,26447423
2023-12-05,51.48,51.95,51.25,51.91,21883851
2023-12-04,51.11,51.64,51.1,51.43,24883212
2023-12-01,51.79,51.87,50.88,51.45,39273708
2023-11-30,52.01,52.12,51.5,51.9,29925815
2023-11-29,52.92,52.92,51.87,52.03,29896514
2023-11-28,52.22,52.97,52.22,52.88,23535050
2023-11-27,51.98,52.45,51.98,52.26,23393669
2023-11-24,51.72,52.04,51.57,52.02,13975183
2023-11-22,51.91,52.02,51.46,51.56,26433548
2023-11-21,51.82,52.28,51.38,51.95,29382224
2023-11-20,51.85,52.0,51.67,51.77,26703869
2023-11-17,51.98,52.51,51.67,51.78,42533445
2023-11-16,52.92,53.15,51.83,52.01,97658689
2023-11-15,56.13,56.65,55.84,56.59,35769980
2023-11-14,56.06,56.38,55.75,55.88,19792537
2023-11-13,55.46,55.96,55.35,55.89,15408858
2023-11-10,54.85,55.48,54.63,55.4,14321171
2023-11-09,54.79,54.84,54.41,54.64,15080712
2023-11-08,55.28,55.43,54.53,54.77,15591846
2023-11-07,55.26,55.54,55.11,55.22,15023517
2023-11-06,54.83,55.21,54.69,54.96,14529251
2023-11-03,55.29,55.43,54.83,54.89,17240240
2023-11-02,54.79,55.4,54.54,55.17,15492216
2023-11-01,54.74,55.13,54.33,54.96,14899403
2023-10-31,54.33,54.54,53.98,54.47,14168360
2023-10-30,53.82,54.42,53.59,54.34,12653664
2023-10-27,53.83,53.99,53.52,53.72,13830226
2023-10-26,54.24,54.62,53.87,53.92,16220089
2023-10-25,54.39,54.78,54.16,54.25,16621795
2023-10-24,53.8,54.49,53.8,54.42,17535083
2023-10-23,52.91,53.78,52.67,53.67,17097125
2023-10-20,53.61,53.7,52.9,52.92,15057258
2023-10-19,53.81,53.94,53.41,53.59,11745908
2023-10-18,53.96,54.12,53.57,53.85,10559734
2023-10-17,53.58,53.9,53.46,53.81,10893382
2023-10-16,53.51,54.03,53.44,53.74,14348024
2023-10-13,53.09,53.49,52.97,53.28,13810897
2023-10-12,52.84,53.1,52.59,52.98,13514689
2023-10-11,52.75,53.16,52.35,52.74,12026787
2023-10-10,52.08,52.69,51.89,52.53,16014460
2023-10-09,51.69,51.95,51.09,51.95,21022563
2023-10-06,52.88,53.0,50.55,52.14,42616209
2023-10-05,53.48,53.65,53.0,53.03,14269619
2023-10-04,53.22,53.68,53.0,53.67,15755853
2023-10-03,53.23,53.58,52.89,53.03,11253185
2023-10-02,53.16,53.42,52.77,53.37,12992853
2023-09-29,54.34,54.38,53.06,53.31,18842457
2023-09-28,54.0,54.28,53.86,54.18,11617127
2023-09-27,54.0,54.08,53.43,53.91,15711117
2023-09-26,54.31,54.51,54.12,54.17,14435828
2023-09-25,54.12,54.37,53.96,54.36,10459432
2023-09-22,54.08,54.41,53.97,54.12,13216930
2023-09-21,54.75,54.83,53.93,53.97,18787506
2023-09-20,54.53,54.9,54.32,54.64,10124659
