date,open,high,low,close,volume
2024-03-28,148.74,149.94,148.74,149.33,2278
2024-03-27,147.43,148.72,147.43,148.72,3395
2024-03-26,148.75,149.12,147.66,147.66,1119
2024-03-25,147.15,148.6,147.15,148.07,4463
2024-03-22,147.66,147.96,147.66,147.96,1817
2024-03-21,149.46,150.75,149.46,149.71,1560
2024-03-20,145.47,148.54,145.47,148.36,9672
2024-03-19,145.04,145.99,145.04,145.99,4576
2024-03-18,147.06,147.06,146.28,146.45,1263
2024-03-15,145.78,145.78,145.46,145.46,903
2024-03-14,147.71,147.71,147.43,147.43,530
2024-03-13,150.73,150.73,149.91,149.95,2005
2024-03-12,149.67,150.47,149.35,150.46,1273
2024-03-11,149.66,149.9,149.2,149.2,1005
2024-03-08,153.09,154.29,150.32,150.63,1555
2024-03-07,150.8,151.13,150.75,151.13,3415
2024-03-06,149.08,149.79,149.08,149.32,1270
2024-03-05,150.02,150.02,146.95,147.28,1468
2024-03-04,152.56,152.97,152.22,152.22,6439
2024-03-01,151.0,151.73,151.0,151.73,2367
2024-02-29,150.05,150.65,149.33,149.84,3576
2024-02-28,148.82,148.85,147.78,147.91,6245
2024-02-27,150.62,150.69,150.34,150.38,2266
2024-02-26,148.59,150.38,148.59,149.69,3228
2024-02-23,148.94,149.09,147.25,148.03,15311
2024-02-22,149.15,149.15,147.55,148.6,17040
2024-02-21,146.07,146.07,143.88,144.45,28149
2024-02-20,147.99,148.37,146.9,148.24,40274
2024-02-16,152.43,153.48,151.57,151.57,12741
2024-02-15,153.84,154.53,153.5,154.39,17415
2024-02-14,150.43,153.11,150.01,152.91,19429
2024-02-13,148.9,150.35,147.17,148.02,20908
2024-02-12,154.6,154.76,153.09,153.23,4376
2024-02-09,152.17,153.33,152.17,153.09,19030
2024-02-08,149.54,150.41,149.54,150.41,29054
2024-02-07,146.73,148.28,146.73,147.94,1850
2024-02-06,145.29,147.11,145.29,147.11,1950
2024-02-05,145.81,146.18,145.81,146.07,2158
