date,open,high,low,close,volume
2024-03-28,65.19,65.76,65.02,65.65,13746101
2024-03-27,63.9,65.2,63.83,65.2,17300245
2024-03-26,64.23,64.42,63.38,63.43,14915171
2024-03-25,64.04,64.2,63.77,64.16,11597058
2024-03-22,64.17,64.29,63.78,63.86,10529737
2024-03-21,64.04,64.47,63.74,63.77,20163900
2024-03-20,63.68,64.2,63.51,63.87,16310406
2024-03-19,63.38,63.85,63.2,63.79,9992733
2024-03-18,63.02,63.63,62.65,63.23,13421951
2024-03-15,63.17,63.8,63.11,63.46,17722545
2024-03-14,63.74,63.99,62.92,63.37,15934878
2024-03-13,63.95,64.45,63.74,63.88,12938850
2024-03-12,63.94,63.97,63.05,63.45,14744482
2024-03-11,63.66,64.21,63.42,64.07,10484108
2024-03-08,63.77,63.94,63.22,63.75,13755822
2024-03-07,63.7,63.86,63.47,63.59,10692059
2024-03-06,63.03,63.5,62.89,63.18,16326149
2024-03-05,62.95,63.97,62.32,62.58,24801531
2024-03-04,61.43,62.85,61.43,62.76,16510351
2024-03-01,61.91,61.92,60.96,61.72,21255464
2024-02-29,62.32,62.62,61.81,62.1,15337731
2024-02-28,61.82,62.17,61.68,62.08,11491833
2024-02-27,61.1,61.91,60.85,61.89,13743797
2024-02-26,61.66,61.7,60.63,60.74,12793450
2024-02-23,61.65,62.25,61.5,61.96,12286400
2024-02-22,61.51,61.78,61.05,61.52,15920793
2024-02-21,61.59,62.08,61.29,62.0,15785406
2024-02-20,61.12,61.89,61.06,61.19,11382134
2024-02-16,61.0,61.52,60.63,61.23,14957160
2024-02-15,60.48,61.35,60.48,61.3,17340434
2024-02-14,60.18,60.43,59.84,60.29,17435982
2024-02-13,60.63,60.94,59.14,59.96,22701076
2024-02-12,60.27,61.02,60.12,60.97,12609667
2024-02-09,59.87,60.33,59.75,60.27,14823936
2024-02-08,60.2,60.33,59.52,60.04,20877675
2024-02-07,60.67,60.8,60.15,60.47,11874299
2024-02-06,60.18,60.63,59.99,60.43,13778547
2024-02-05,60.89,60.93,60.18,60.21,19947520
2024-02-02,61.91,62.09,61.06,61.49,25919766
2024-02-01,61.19,62.62,60.91,62.62,25753774
2024-01-31,62.09,62.36,61.1,61.45,29821198
2024-01-30,61.45,61.95,61.05,61.58,18054485
2024-01-29,61.25,61.84,60.89,61.6,13027164
2024-01-26,61.19,61.44,61.01,61.21,18326801
2024-01-25,60.75,61.04,60.18,61.03,25258351
2024-01-24,61.2,61.3,59.86,59.95,25439059
2024-01-23,60.69,60.97,60.42,60.78,20550105
2024-01-22,60.96,61.41,60.41,60.67,20838328
2024-01-19,61.12,61.22,60.59,60.98,14128760
2024-01-18,61.41,61.47,60.71,61.06,19732019
2024-01-17,62.27,62.84,61.25,61.72,19584566
2024-01-16,63.01,63.18,62.48,62.63,15226993
2024-01-12,63.38,63.58,63.07,63.32,9768873
2024-01-11,64.25,64.26,62.76,62.96,22176819
2024-01-10,64.47,64.76,64.23,64.46,10927064
2024-01-09,64.66,64.76,64.33,64.47,14402873
2024-01-08,64.39,65.02,64.19,65.0,11717200
2024-01-05,64.2,64.84,63.91,64.53,13595190
2024-01-04,64.56,64.9,64.21,64.29,13311157
2024-01-03,64.23,64.61,63.79,64.49,16433175
2024-01-02,63.06,64.4,62.93,64.25,15379308
2023-12-29,63.27,63.46,62.91,63.33,11239092
2023-12-28,62.76,63.5,62.76,63.41,8673182
2023-12-27,62.88,63.08,62.64,62.96,9492262
2023-12-26,62.52,63.24,62.5,63.0,9537573
2023-12-22,62.64,63.24,62.5,62.62,13223821
2023-12-21,62.51,62.84,61.97,62.41,15876947
2023-12-20,63.51,63.69,62.29,62.3,18325928
2023-12-19,63.45,63.67,63.18,63.59,12688927
2023-12-18,63.55,63.91,63.1,63.23,16253456
2023-12-15,64.45,64.78,63.5,63.97,26564463
2023-12-14,66.36,66.7,64.97,65.1,32484089
2023-12-13,63.63,65.96,63.29,65.96,21725953
2023-12-12,63.91,63.94,63.07,63.56,10884127
2023-12-11,63.08,63.9,63.08,63.82,11224362
2023-12-08,63.43,63.7,62.94,63.41,12001458
2023-12-07,63.76,63.99,63.24,63.53,10938256
2023-12-06,63.11,63.69,63.02,63.67,13408883
2023-12-05,63.34,63.35,62.58,62.83,11268278
2023-12-04,63.23,63.81,62.96,63.28,15257906
2023-12-01,62.79,63.54,62.38,63.53,14671375
2023-11-30,62.67,62.84,62.24,62.76,15241758
2023-11-29,63.01,63.26,62.27,62.49,17903259
2023-11-28,62.8,63.45,62.55,62.99,14707558
2023-11-27,62.74,62.92,62.29,62.79,12416581
2023-11-24,62.52,62.7,62.28,62.69,4899267
2023-11-22,62.45,62.55,61.94,62.53,8959829
2023-11-21,62.05,62.36,61.65,62.23,10144252
2023-11-20,62.0,62.34,61.28,62.1,14158259
2023-11-17,62.46,62.53,61.95,62.29,11939603
2023-11-16,62.3,62.62,62.07,62.12,17325258
2023-11-15,61.81,62.69,61.65,61.79,24831375
2023-11-14,60.94,62.03,60.82,61.98,28659079
2023-11-13,60.19,60.33,59.51,59.6,15579810
2023-11-10,60.27,60.49,59.92,60.32,14015530
2023-11-09,60.91,61.1,59.97,60.0,16097825
2023-11-08,60.99,61.01,60.12,60.8,21647848
2023-11-07,61.73,61.81,61.15,61.25,18842279
2023-11-06,61.97,62.17,61.64,61.7,19120047
2023-11-03,62.57,62.65,61.84,61.86,22573676
2023-11-02,60.5,61.82,60.4,61.5,25550074
2023-11-01,59.77,60.73,59.19,60.37,23261495
2023-10-31,59.42,59.75,59.0,59.69,10682267
2023-10-30,58.98,59.57,58.53,59.18,14269819
2023-10-27,59.6,59.94,58.55,58.73,20251212
2023-10-26,59.51,60.39,59.49,59.86,23587321
2023-10-25,58.92,59.47,58.68,59.35,20654716
2023-10-24,58.41,59.26,58.23,59.02,23597213
2023-10-23,57.5,58.37,57.04,57.54,20520635
2023-10-20,58.5,59.07,58.02,58.03,20022408
2023-10-19,59.04,59.59,58.6,58.64,19681942
2023-10-18,59.69,60.05,58.85,59.23,23363493
2023-10-17,59.4,60.13,59.31,59.75,18480217
2023-10-16,59.42,60.13,58.96,59.91,19777401
2023-10-13,59.03,59.68,58.88,59.3,19787234
2023-10-12,59.26,59.61,58.11,58.64,27543308
2023-10-11,58.94,59.61,58.52,59.56,26673661
2023-10-10,57.82,58.64,57.82,58.61,30707219
2023-10-09,57.15,57.82,56.91,57.82,20243833
2023-10-06,55.75,57.39,54.77,57.25,34103697
2023-10-05,56.63,56.8,55.9,56.45,28145006
2023-10-04,57.13,57.24,55.89,56.78,29498635
2023-10-03,55.75,57.03,54.93,56.84,57618221
2023-10-02,58.59,58.59,55.52,56.19,55822719
2023-09-29,59.34,59.82,58.61,58.93,22868903
2023-09-28,60.36,60.48,58.74,58.83,38594859
2023-09-27,61.19,61.34,59.97,60.13,26016768
2023-09-26,62.94,63.01,61.14,61.31,23416657
2023-09-25,62.92,63.25,62.54,63.2,12364907
2023-09-22,63.13,63.71,62.87,63.29,12299789
2023-09-21,64.03,64.15,63.38,63.41,12814687
2023-09-20,64.28,64.75,63.89,64.08,9368093
2023-09-19,64.32,64.55,64.0,64.02,12444627
2023-09-18,64.46,64.58,63.92,64.37,9567478
2023-09-15,65.11,65.61,64.87,64.94,17400989
2023-09-14,64.68,65.26,64.59,65.22,13100493
2023-09-13,63.55,64.57,63.55,64.28,15060428
2023-09-12,63.43,63.7,63.01,63.52,11047481
2023-09-11,63.11,63.77,63.09,63.44,13398249
2023-09-08,62.74,63.29,62.54,63.18,16261121
2023-09-07,62.35,63.13,62.19,62.63,16874256
2023-09-06,61.77,61.89,61.42,61.82,19470062
2023-09-05,62.6,62.64,61.34,61.68,18825312
2023-09-01,63.29,63.51,62.15,62.64,14387795
2023-08-31,63.82,63.88,62.94,62.96,13771059
2023-08-30,63.65,64.07,63.33,63.57,11240630
2023-08-29,63.7,64.05,63.44,63.86,11873096
2023-08-28,63.74,64.09,63.49,63.62,8663244
2023-08-25,63.24,63.95,63.2,63.63,12490634
2023-08-24,63.41,64.28,63.09,63.15,12967138
2023-08-23,63.61,63.68,63.08,63.52,13386025
2023-08-22,63.05,63.45,62.81,63.27,13531106
2023-08-21,63.3,63.47,62.59,63.09,12081002
2023-08-18,63.15,63.64,63.09,63.49,12837791
2023-08-17,63.37,63.99,63.13,63.16,11876555
2023-08-16,63.29,63.58,63.05,63.3,12514157
2023-08-15,63.69,63.72,62.98,63.02,15189643
2023-08-14,64.53,64.57,63.78,64.06,10774840
2023-08-11,64.28,64.66,64.08,64.57,12168310
2023-08-10,64.68,65.07,64.03,64.22,13692323
2023-08-09,64.25,64.99,64.14,64.42,13193675
2023-08-08,63.97,64.31,63.38,64.28,15175100
2023-08-07,64.23,64.53,63.96,63.98,12565868
2023-08-04,64.91,65.33,63.71,63.99,18248921
2023-08-03,66.05,66.1,64.68,64.74,20634676
2023-08-02,65.98,66.56,65.87,66.25,15168281
2023-08-01,66.99,67.34,66.21,66.25,13459841
2023-07-31,67.31,67.58,66.76,67.07,12523742
2023-07-28,67.63,67.9,66.71,67.04,13216072
