date,open,high,low,close,volume
2024-03-28,147.92,148.23,147.68,147.73,8088837
2024-03-27,147.01,147.71,146.62,147.71,8797533
2024-03-26,145.53,145.94,145.14,145.77,6942438
2024-03-25,145.71,145.86,145.01,145.24,5252964
2024-03-22,145.85,146.22,145.26,145.44,5537224
2024-03-21,145.75,146.17,145.34,145.64,8865259
2024-03-20,145.43,145.5,144.64,145.45,8268171
2024-03-19,144.94,145.87,144.52,145.78,5240260
2024-03-18,145.43,145.57,144.72,144.82,6407158
2024-03-15,145.02,145.66,144.85,145.36,10570477
2024-03-14,146.55,146.66,145.13,145.94,9605786
2024-03-13,147.59,147.7,145.89,146.46,7874171
2024-03-12,146.45,147.39,145.96,147.03,7143931
2024-03-11,146.1,146.61,145.29,146.35,7724013
2024-03-08,146.56,147.25,146.17,146.43,7802515
2024-03-07,146.38,147.05,146.18,146.7,6438276
2024-03-06,145.3,146.56,145.3,146.02,8085410
2024-03-05,146.17,146.41,144.55,145.03,9743609
2024-03-04,145.92,146.68,145.77,146.12,10657870
2024-03-01,145.15,146.44,144.51,146.34,8741586
2024-02-29,146.0,146.24,144.72,144.82,9435636
2024-02-28,146.12,146.28,145.32,146.01,8038813
2024-02-27,146.38,147.19,146.04,146.74,7374135
2024-02-26,147.77,148.11,146.97,147.1,7248352
2024-02-23,147.66,148.27,147.34,147.86,9194718
2024-02-22,145.64,147.43,145.33,147.16,9130025
2024-02-21,144.66,145.49,144.24,145.45,7213773
2024-02-20,145.73,146.19,144.76,145.13,9120550
2024-02-16,145.34,146.6,144.82,145.62,8424290
2024-02-15,144.2,145.43,143.99,145.15,9294805
2024-02-14,143.35,144.15,143.07,144.1,9701053
2024-02-13,143.47,144.47,142.15,142.86,11170135
2024-02-12,143.82,144.24,143.14,144.2,6645456
2024-02-09,144.06,144.29,143.54,144.01,7447802
2024-02-08,144.23,144.23,143.47,144.12,6672616
2024-02-07,144.34,145.03,144.07,144.37,7884600
2024-02-06,143.54,144.09,142.82,143.98,10159041
2024-02-05,142.5,143.31,141.78,142.43,9631688
2024-02-02,142.15,142.65,141.27,141.99,10629354
2024-02-01,140.55,142.2,139.87,142.2,8503745
2024-01-31,141.64,141.75,140.35,140.38,10223101
2024-01-30,140.48,140.82,139.81,140.57,5940340
2024-01-29,139.4,140.26,139.31,140.25,6229620
2024-01-26,139.44,139.56,138.92,139.27,5759212
2024-01-25,138.2,138.51,137.21,138.48,10050187
2024-01-24,140.34,140.68,138.67,138.69,9104974
2024-01-23,139.89,140.06,138.97,139.97,6407411
2024-01-22,139.58,140.44,139.23,140.07,7831379
2024-01-19,139.46,139.82,138.69,139.46,8842008
2024-01-18,138.2,139.51,137.52,139.38,8929332
2024-01-17,139.45,140.09,139.01,139.4,8337301
2024-01-16,140.17,140.36,139.46,139.68,7426944
2024-01-12,140.48,141.16,140.05,140.52,8026508
2024-01-11,140.79,141.03,140.0,140.87,7182331
