date,open,high,low,close,volume
2024-03-30,132.47318,138.53,129.02,130.5,58536920
2024-03-29,135.0,137.94,129.47,131.82,50350380
2024-03-28,137.75,140.25,133.97,134.88,50342353
2024-03-27,134.94,141.2,134.19,137.68,68147773
2024-03-26,142.46,143.65,132.88,134.92,73114758
2024-03-25,141.72,143.39,139.73,142.44,46518086
2024-03-24,138.89,144.0,137.0,141.73,46383807
2024-03-23,134.97,140.39,133.6,138.99,42375980
2024-03-22,138.26,141.01,131.16,135.11,45802437
2024-03-21,139.66,144.86,137.72,138.1,58439916
2024-03-20,133.68,142.68,129.12,139.66,59442114
2024-03-19,140.71,141.54,128.66,133.96,55669001
2024-03-18,140.04,141.91,136.11,140.99,50287932
2024-03-17,139.25,145.47,136.54,139.61,52806847
2024-03-16,142.21,148.87,135.01,139.34,52162541
2024-03-15,146.78,147.64,138.58,141.91,68320297
2024-03-14,150.07,152.0,140.7,146.75,69695577
2024-03-13,145.14,150.31,139.84,149.88,67768461
2024-03-12,145.24,147.29,142.03,145.07,70751333
2024-03-11,146.49,147.1,142.16,145.24,74690585
2024-03-10,143.76,148.5,139.0,146.5,52976238
2024-03-09,147.45,149.71,140.86,143.76,49472434
2024-03-08,144.3,151.0,142.43,147.31,63772091
2024-03-07,144.26,149.0,137.94,144.3,75104195
2024-03-06,141.57,151.49,138.37,144.09,87199566
2024-03-05,149.59,150.48,131.88,141.08,85810399
2024-03-04,150.9,151.0,143.12,150.0,74473323
2024-03-03,146.36,153.42,143.94,151.06,65555314
2024-03-02,144.02,146.67,140.03,146.51,56078732
2024-03-01,138.19,146.14,137.23,144.24,67209799
2024-02-29,134.72,141.15,133.7,138.06,66793524
2024-02-28,137.01,141.72,133.82,134.47,65006893
2024-02-27,132.96,144.7,132.51,137.01,72506717
2024-02-26,128.72,134.43,127.6,133.02,53208623
2024-02-25,123.92,128.88,122.96,128.3,597868068
2024-02-24,123.51,125.34,122.07,123.9,92062852
2024-02-23,123.9,124.5,112.1,123.76,93773418
2024-02-22,123.0,124.93,121.08,123.97,102663823
2024-02-21,124.0,125.74,116.07,123.0,50491156
2024-02-20,112.91,126.76,112.26,123.82,61973008
2024-02-19,122.33,123.24,109.18,113.06,88708662
2024-02-18,121.24,123.5,118.73,122.26,56685675
2024-02-17,122.8,122.81,117.83,121.17,49581822
2024-02-16,125.8,129.0,120.22,122.7,68839222
2024-02-15,128.29,129.2,124.47,125.83,76833545
2024-02-14,127.75,131.78,126.55,128.24,85826714
2024-02-13,126.48,128.86,122.21,127.82,101751450
2024-02-12,120.65,128.56,118.06,126.32,94789690
2024-02-11,119.18,123.2,116.93,120.69,80624208
2024-02-10,121.72,123.6,115.47,119.31,76698211
2024-02-09,127.71,129.17,119.92,121.88,106467375
2024-02-08,130.82,134.85,117.79,128.34,123335948
2024-02-07,105.17,134.5,103.7,131.25,248072044
2024-02-06,165.31,166.74,99.34,105.15,294363740
2024-02-05,165.86,168.08,163.36,165.32,62301595
2024-02-04,165.33,167.74,163.8,165.82,50184533
2024-02-03,168.8,169.93,161.46,165.36,61447556
2024-02-02,166.4,171.0,165.37,168.62,78864556
2024-02-01,163.77,169.53,163.46,166.5,89982885
2024-01-31,160.25,166.85,158.5,163.39,93429077
2024-01-30,168.18,172.0,159.59,160.19,89822870
2024-01-29,160.79,169.8,159.97,168.02,81614008
2024-01-28,160.52,162.41,158.79,160.89,55953172
2024-01-27,159.53,162.0,157.6,160.61,48847332
2024-01-26,157.25,162.38,156.04,159.15,78724937
2024-01-25,152.65,157.97,152.01,157.37,67740826
2024-01-24,150.18,155.69,148.76,152.77,68408926
2024-01-23,150.69,154.97,146.2,150.46,73484594
2024-01-22,157.69,160.3,149.52,150.76,104392987
2024-01-21,157.05,163.49,155.09,157.48,96097956
2024-01-20,158.24,159.79,155.81,157.05,78692419
2024-01-19,153.13,158.97,150.0,158.56,89888194
2024-01-18,157.79,164.27,151.86,153.21,105190466
2024-01-17,157.46,160.57,154.94,157.8,102683719
2024-01-16,157.19,162.4,153.87,157.5,95139309
2024-01-15,154.24,159.15,153.13,157.09,109454535
2024-01-14,155.81,159.85,152.97,154.09,80484737
2024-01-13,151.93,156.46,148.37,155.72,89285151
2024-01-12,152.67,162.0,149.0,151.94,130227726
2024-01-11,149.21,154.7,148.22,152.56,140890853
2024-01-10,144.13,152.37,143.71,148.93,113385741
2024-01-09,147.7,148.67,142.7,144.14,105887540
2024-01-08,146.01,154.77,143.02,147.95,132272184
2024-01-07,152.62,155.31,144.32,146.0,75045189
2024-01-06,155.84,158.94,150.0,152.8,115566927
2024-01-05,164.82,165.25,153.46,155.78,142505652
2024-01-04,154.14,165.09,149.13,164.87,156700150
2024-01-03,167.78,169.84,149.03,153.95,139776301
2024-01-02,170.08,174.36,167.02,167.57,127652130
2024-01-01,164.75,170.08,163.2,169.43,70363491
2023-12-31,165.84,168.41,162.63,165.35,75294706
2023-12-30,166.54,169.18,162.38,165.75,91670211
2023-12-29,174.85,175.73,162.53,166.82,144572667
2023-12-28,175.71,180.75,172.61,174.79,138469381
2023-12-27,174.19,176.62,172.67,175.68,91528417
2023-12-26,174.58,176.73,170.68,174.19,86518789
2023-12-25,171.5,175.06,170.54,174.51,72328561
2023-12-24,178.69,179.28,170.96,171.31,81640007
2023-12-23,176.83,179.28,174.81,178.59,82650397
2023-12-22,173.26,177.0,171.21,176.69,107972592
2023-12-21,174.42,176.32,172.5,173.26,89647488
2023-12-20,171.5,175.0,170.64,174.41,93878761
2023-12-19,173.85,175.96,168.0,171.24,105594086
2023-12-18,167.94,173.99,166.32,173.81,111429021
2023-12-17,168.55,170.62,167.27,167.78,76627752
2023-12-16,168.19,172.39,166.59,168.63,87411878
2023-12-15,168.21,172.85,167.61,168.09,105315712
2023-12-14,169.26,169.41,166.17,168.26,92973726
2023-12-13,170.65,170.92,166.73,169.06,99546875
2023-12-12,171.52,173.3,167.74,170.7,103034142
2023-12-11,175.73,176.74,160.51,171.85,123692736
2023-12-10,175.24,178.59,174.52,176.21,81518301
2023-12-09,173.85,177.1,173.83,175.17,89164506
2023-12-08,173.03,175.55,172.03,173.87,113598756
2023-12-07,170.71,177.0,170.21,173.05,100270470
