date,open,high,low,close,volume
2024-03-30,30.68918,30.89,30.0,30.11,31248597
2024-03-29,31.03,31.7,30.37,30.87,2134383
2024-03-28,31.03,31.77,30.27,30.85,62945696
2024-03-27,31.54,32.01,29.73,30.97,70240780
2024-03-26,30.36,31.89,30.32,31.61,77377398
2024-03-25,29.8,30.75,29.531,30.3,74625909
2024-03-24,28.74,29.899,28.59,29.831,61580347
2024-03-23,28.787,29.55,28.26,28.68,63642381
2024-03-22,29.38,29.66,27.78,28.82,66808251
2024-03-21,28.31,30.0,28.23,29.38,76096457
2024-03-20,25.03,28.5,24.33,28.27,88543735
2024-03-19,27.567,27.837,24.38,25.02,87968090
2024-03-18,29.259,29.61,26.54,27.586,82622541
2024-03-17,29.118,30.29,27.231,29.22,83924016
2024-03-16,31.48,32.17,28.21,29.1,85122478
2024-03-15,34.05,35.04,29.09,31.447,101653869
2024-03-14,34.93,35.58,31.82,34.05,97260579
2024-03-13,34.21,35.68,33.09,34.98,98793227
2024-03-12,34.84,35.13,31.17,34.19,89236124
2024-03-11,33.75,35.19,31.04,34.82,111637515
2024-03-10,34.35,34.94,32.006,33.81,119028676
2024-03-09,34.63,35.66,33.8,34.34,111387094
2024-03-08,34.11,35.0,32.15,34.66,121826508
2024-03-07,32.86,34.55,32.595,34.09,122114219
2024-03-06,30.45,33.08,29.1,32.86,133427771
2024-03-05,32.83,35.19,26.335,30.32,141977481
2024-03-04,31.64,33.26,30.83,32.82,110406657
2024-03-03,33.12,33.263,29.52,31.64,104645437
2024-03-02,29.58,33.36,29.16,33.13,104419516
2024-03-01,27.96,29.7,27.935,29.55,85733543
2024-02-29,28.36,30.37,27.002,27.92,115241519
2024-02-28,28.76,29.67,24.549,28.33,115475043
2024-02-27,28.12,30.0,28.017,28.77,88790862
2024-02-26,27.73,29.65,27.38,28.09,72221345
2024-02-25,27.86,28.29,27.31,27.7,68646279
2024-02-24,26.86,28.9,26.85,27.97,73794413
2024-02-23,26.74,27.88,26.07,26.79,87884658
2024-02-22,24.45,30.2,23.72,26.74,122285492
2024-02-21,24.89,25.16,23.46,24.52,77273006
2024-02-20,26.86,27.36,23.15,24.822,88910547
2024-02-19,25.6,27.61,25.14,26.86,79160672
2024-02-18,25.08,27.57,24.62,25.59,91050606
2024-02-17,22.66,25.92,22.48,24.869,81975018
2024-02-16,22.35,22.95,21.997,22.66,57525742
2024-02-15,21.31,22.8,21.17,22.34,61992014
2024-02-14,20.85,21.43,20.62,21.29,52737845
2024-02-13,21.12,21.413,19.91,20.83,55458958
2024-02-12,20.37,21.2,20.01,21.12,48050117
2024-02-11,20.87,21.31,20.2,20.363,44625105
2024-02-10,21.14,21.231,20.39,20.9,47605284
2024-02-09,20.88,21.24,20.6,21.1,55547684
2024-02-08,20.84,20.91,20.51,20.855,47398729
2024-02-07,19.236,20.98,19.119,20.88,52710841
2024-02-06,21.32,21.568,19.216,19.28,59252539
2024-02-05,21.39,21.687,21.05,21.34,45453741
2024-02-04,22.09,22.11,21.247,21.4,39799013
2024-02-03,22.08,22.242,21.88,22.08,42256759
2024-02-02,21.671,22.11,21.53,22.04,46672157
2024-02-01,21.7,21.849,21.21,21.732,43918630
2024-01-31,22.63,22.74,21.3,21.7,53828999
2024-01-30,22.995,23.25,22.44,22.57,54495895
