date,open,high,low,close,volume
2024-03-28,66.86,66.86,65.33,65.37,2605842
2024-03-27,66.61,66.96,65.93,66.62,1882940
2024-03-26,67.0,67.4,66.19,66.35,1642307
2024-03-25,65.85,66.94,65.35,66.71,2227021
2024-03-22,66.35,66.41,65.58,65.96,1522154
2024-03-21,67.27,67.27,66.42,66.54,1702368
2024-03-20,66.66,67.26,65.97,66.86,1594928
2024-03-19,65.5,67.0,65.35,66.53,2341989
2024-03-18,66.31,67.22,66.0,66.23,2132726
2024-03-15,66.74,67.61,65.89,65.96,5677426
2024-03-14,68.56,68.88,66.87,67.26,1902832
2024-03-13,69.74,69.95,68.34,68.44,2402910
2024-03-12,70.0,70.57,69.3,69.88,3160642
2024-03-11,67.19,70.26,67.13,69.68,4434020
2024-03-08,67.66,68.29,67.15,67.16,2983026
2024-03-07,66.55,67.46,66.55,67.03,2483481
2024-03-06,67.19,67.78,66.31,66.42,2925061
2024-03-05,68.73,69.19,66.06,66.49,4874646
2024-03-04,70.91,70.92,69.49,69.71,5257919
2024-03-01,70.98,71.2,70.13,70.91,4272703
2024-02-29,70.0,71.3,69.07,70.73,5830393
2024-02-28,67.73,70.61,67.56,69.62,8100856
2024-02-27,67.15,69.48,65.06,68.17,18557961
2024-02-26,63.65,64.32,62.95,63.12,13348816
2024-02-23,62.5,63.47,62.3,63.4,3518836
2024-02-22,61.93,62.18,60.94,62.12,3383314
2024-02-21,60.42,61.42,60.14,61.35,3343778
2024-02-20,61.7,61.92,60.48,61.32,3742755
2024-02-16,63.38,63.76,62.08,62.12,4128229
2024-02-15,64.35,64.73,63.74,64.04,1917676
2024-02-14,64.34,64.48,63.51,64.14,1810992
2024-02-13,63.0,64.05,62.81,63.66,3230046
2024-02-12,65.72,66.15,64.45,64.48,3077320
2024-02-09,64.21,66.5,64.01,65.7,4302135
2024-02-08,63.69,64.07,63.07,63.9,3304672
2024-02-07,64.18,64.25,63.06,63.88,2738645
2024-02-06,63.53,64.14,63.21,63.6,3031192
2024-02-05,63.93,64.02,63.35,63.69,2597121
2024-02-02,64.28,64.79,63.36,64.27,4006888
2024-02-01,64.78,65.65,64.13,64.85,4066532
2024-01-31,66.25,66.38,64.58,64.61,4178222
2024-01-30,68.33,68.8,67.14,67.18,2418925
2024-01-29,67.59,69.1,67.59,68.93,2655856
2024-01-26,67.33,68.75,67.22,67.74,2112128
2024-01-25,69.5,69.5,67.19,67.42,2670013
2024-01-24,70.42,70.6,68.92,69.04,1944299
2024-01-23,69.59,69.9,69.11,69.63,2373126
2024-01-22,69.53,70.66,69.04,69.59,2494020
2024-01-19,67.66,69.04,67.11,69.04,2098899
2024-01-18,67.52,67.98,66.45,67.32,2611230
2024-01-17,68.14,68.17,66.41,67.95,2357343
2024-01-16,69.9,70.41,68.16,69.1,3503249
2024-01-12,68.69,71.5,68.69,70.46,4037912
2024-01-11,68.34,68.68,66.97,68.5,3334744
2024-01-10,68.25,68.3,67.58,68.18,2078300
2024-01-09,67.46,68.93,67.21,68.31,2178163
2024-01-08,67.2,68.96,66.78,68.39,2341323
2024-01-05,66.53,68.03,66.47,66.96,1959507
2024-01-04,67.0,67.54,66.4,66.9,1962107
2024-01-03,68.31,68.49,67.11,67.17,2493517
2024-01-02,71.1,71.45,69.0,69.15,2869406
2023-12-29,72.98,73.6,71.81,71.91,2431454
2023-12-28,73.77,74.0,72.92,73.09,2330200
2023-12-27,74.3,74.77,73.16,73.73,2392314
2023-12-26,72.61,74.35,72.37,74.21,2939931
2023-12-22,72.12,72.84,71.67,72.5,2386871
2023-12-21,70.58,72.04,70.26,71.9,3798688
2023-12-20,71.33,71.78,69.85,69.86,3512731
2023-12-19,71.57,72.79,71.4,72.42,3014015
2023-12-18,70.86,72.64,70.82,71.36,2967417
2023-12-15,72.25,72.46,70.97,71.57,19859046
2023-12-14,72.12,73.94,71.51,72.14,5929613
2023-12-13,71.31,71.35,68.85,71.22,4510699
2023-12-12,71.98,72.17,71.03,71.28,4712810
2023-12-11,71.82,73.74,70.95,72.58,6531303
2023-12-08,71.7,73.96,71.17,73.06,5031081
2023-12-07,71.0,72.04,70.63,71.93,4312461
2023-12-06,69.58,71.44,68.75,70.94,4731852
2023-12-05,67.91,69.26,67.09,68.72,3753135
2023-12-04,69.8,70.26,65.6,68.16,8401060
2023-12-01,67.76,70.46,67.58,70.29,4485389
2023-11-30,68.39,68.68,67.25,67.83,3923808
2023-11-29,68.43,69.09,67.86,67.95,3554562
2023-11-28,65.29,67.64,64.91,67.53,5121746
2023-11-27,64.39,65.7273,64.06,65.55,3829974
2023-11-24,64.03,64.98,63.82,64.53,1842335
2023-11-22,66.05,66.53,63.7699,63.83,5099053
2023-11-21,63.66,66.5499,61.83,65.94,13812386
2023-11-20,64.59,66.08,64.48,66.0,10951987
2023-11-17,64.43,64.76,63.57,64.12,4215447
2023-11-16,63.29,63.98,63.0956,63.4,2441089
2023-11-15,63.16,65.4,63.15,63.74,3720425
2023-11-14,63.0,64.05,62.07,62.77,4447045
2023-11-13,61.96,62.44,61.32,61.54,2258453
2023-11-10,60.67,62.22,60.24,62.06,2672869
2023-11-09,61.98,62.0,60.62,60.65,2581458
2023-11-08,62.42,62.69,61.5,61.83,1993804
2023-11-07,62.46,63.2097,61.99,62.69,2375263
2023-11-06,63.14,63.31,61.23,61.82,3058056
2023-11-03,61.98,63.315,61.755,62.99,3147772
2023-11-02,61.0,61.7,60.345,61.28,3031287
2023-11-01,60.0,60.3608,59.3501,60.03,2108042
2023-10-31,60.22,60.43,59.49,59.98,1734616
2023-10-30,59.57,60.52,59.0,60.0,2174593
2023-10-27,59.96,60.1441,59.0,59.29,1818345
2023-10-26,60.45,60.97,58.87,59.5,2493369
2023-10-25,61.4,61.785,60.27,60.35,3097646
2023-10-24,61.49,62.865,61.49,62.14,2420036
2023-10-23,61.1,62.04,60.9,61.13,2046389
2023-10-20,62.42,62.65,61.41,61.71,2487977
2023-10-19,63.43,63.9675,62.12,62.36,1651431
2023-10-18,63.32,63.81,62.79,62.97,1951542
2023-10-17,62.68,64.92,62.6521,63.84,3031991
2023-10-16,63.06,63.59,62.44,63.18,2378965
2023-10-13,63.42,63.7,62.145,62.75,2811496
2023-10-12,64.93,64.93,62.67,63.47,3069781
2023-10-11,67.43,67.59,64.78,64.82,3142910
2023-10-10,66.0,67.89,65.858,67.28,2416363
2023-10-09,63.97,66.13,63.53,66.1,3389079
2023-10-06,63.6824,65.8038,63.6824,65.48,3237485
2023-10-05,65.95,66.06,64.15,64.52,3951284
2023-10-04,68.679,68.88,65.52,66.06,4689519
2023-10-03,69.58,70.25,67.68,68.04,3258383
2023-10-02,69.93,71.375,69.47,70.11,2459042
2023-09-29,69.13,71.0835,69.12,69.94,2824928
2023-09-28,67.0,68.57,66.41,68.33,1829011
2023-09-27,68.94,68.96,66.51,67.32,2617923
2023-09-26,68.19,69.16,68.03,68.3,2262437
2023-09-25,68.25,69.16,68.2,68.65,1853557
2023-09-22,68.5,69.73,68.4,68.85,2498384
2023-09-21,68.0,68.9,67.86,68.31,3414937
2023-09-20,69.5,70.05,68.77,68.8,2214596
2023-09-19,70.12,70.55,68.64,69.34,2399523
2023-09-18,70.81,71.12,69.78,70.63,1958731
2023-09-15,71.57,72.45,70.651,71.11,6239299
2023-09-14,70.03,71.88,70.0,71.57,3201399
2023-09-13,70.02,70.3501,68.81,69.84,3349038
2023-09-12,70.69,71.78,70.25,70.27,2880443
2023-09-11,71.58,72.91,71.13,71.78,4245270
2023-09-08,73.68,73.8,71.64,72.06,3885348
2023-09-07,73.19,74.82,72.34,73.68,3948272
2023-09-06,73.0,74.08,72.6,74.0,3579884
2023-09-05,70.98,75.905,70.72,73.28,9151413
2023-09-01,71.79,72.415,71.425,71.72,4025215
2023-08-31,69.16,72.55,68.79,71.03,6456794
2023-08-30,68.54,69.27,67.91,68.67,2080639
2023-08-29,67.41,68.92,66.86,68.81,2446164
2023-08-28,68.23,68.555,67.195,67.57,1841334
2023-08-25,66.67,67.96,66.51,67.7,2454167
2023-08-24,69.18,69.19,66.94,66.95,2956371
2023-08-23,66.25,69.54,66.15,68.17,7339557
2023-08-22,67.18,67.37,63.585,65.83,13083373
2023-08-21,66.55,67.94,66.5,67.27,9917426
2023-08-18,64.45,66.825,64.33,66.29,3215954
2023-08-17,65.24,66.34,65.18,65.36,2315593
2023-08-16,65.73,66.71,65.36,65.375,2080817
2023-08-15,67.0,67.41,65.95,66.06,2567496
2023-08-14,66.2,67.56,65.59,67.55,2202318
2023-08-11,66.55,67.25,66.23,66.6,1508377
2023-08-10,67.81,68.7891,66.975,67.47,1976394
2023-08-09,67.51,67.61,66.1504,66.55,2142926
2023-08-08,67.47,67.92,65.71,67.55,3561980
2023-08-07,69.09,69.19,67.63,68.66,2459035
2023-08-04,70.3,70.95,69.04,69.06,3078055
2023-08-03,69.1,70.62,69.05,69.89,1946580
2023-08-02,71.52,71.52,69.68,69.89,3073045
2023-08-01,72.93,73.04,71.87,72.91,2068950
2023-07-31,73.28,74.189,72.865,73.35,3001981
2023-07-28,73.35,74.55,72.85,73.08,2744089
2023-07-27,72.18,74.55,71.99,72.39,3944140
2023-07-26,69.0,71.37,68.535,71.1,2885300
